21:10:20.451860 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 2, length 64
21:10:20.775471 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 2, length 64
21:10:21.453333 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 3, length 64
21:10:21.776549 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 3, length 64
21:10:22.454488 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 4, length 64
21:10:22.777831 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 4, length 64
21:10:23.455762 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 5, length 64
21:10:23.779095 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 5, length 64
21:10:24.457011 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 6, length 64
21:10:24.780678 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 6, length 64
21:10:25.458596 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 7, length 64
21:10:25.782119 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 7, length 64
21:10:26.460038 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 8, length 64
21:10:26.783075 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 8, length 64
21:10:27.460995 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 9, length 64
21:10:27.784148 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 9, length 64
21:10:28.462067 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 10, length 64
21:10:28.785465 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 10, length 64
21:10:29.463389 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 11, length 64
21:10:29.786542 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 11, length 64
21:10:30.464459 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 12, length 64
21:10:30.788167 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 12, length 64
21:10:31.466084 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 13, length 64
21:10:31.789171 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 13, length 64
21:10:32.467102 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 14, length 64
21:10:32.790182 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 14, length 64
21:10:33.468117 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 15, length 64
21:10:33.791924 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 15, length 64
21:10:34.469808 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 16, length 64
21:10:34.793244 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 16, length 64
21:10:35.471162 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 17, length 64
21:10:35.794599 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 17, length 64
21:10:36.472514 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 18, length 64
21:10:36.796090 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 18, length 64
21:10:37.474011 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 19, length 64
21:10:37.797493 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 19, length 64
21:10:38.475398 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 20, length 64
21:10:38.798689 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 20, length 64
21:10:39.476609 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 21, length 64
21:10:39.801260 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 21, length 64
21:10:40.478179 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 22, length 64
21:10:40.801506 IP 185.176.222.47 > 10.8.1.2: ICMP echo reply, id 690, seq 22, length 64
21:10:41.479425 IP 10.8.1.2 > 185.176.222.47: ICMP echo request, id 690, seq 23, length 64
