00:26:21.948648 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 2, length 64
00:26:22.173310 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 2, length 64
00:26:22.949238 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 3, length 64
00:26:23.174129 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 3, length 64
00:26:23.949155 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 4, length 64
00:26:24.173952 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 4, length 64
00:26:24.949970 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 5, length 64
00:26:25.175530 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 5, length 64
00:26:25.950540 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 6, length 64
00:26:26.175126 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 6, length 64
00:26:26.951141 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 7, length 64
00:26:27.175752 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 7, length 64
00:26:27.951765 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 8, length 64
00:26:28.176644 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 8, length 64
00:26:28.951656 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 9, length 64
00:26:29.176412 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 9, length 64
00:26:29.952427 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 10, length 64
00:26:30.177035 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 10, length 64
00:26:30.953047 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 11, length 64
00:26:31.208044 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 11, length 64
00:26:31.953027 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 12, length 64
00:26:32.177828 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 12, length 64
00:26:32.953838 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 13, length 64
00:26:33.178937 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 13, length 64
00:26:33.953946 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 14, length 64
00:26:34.179135 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 14, length 64
00:26:34.954148 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 15, length 64
00:26:35.179147 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 15, length 64
00:26:35.954158 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 16, length 64
00:26:36.179551 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 16, length 64
00:26:36.954566 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 17, length 64
00:26:37.179200 IP 217.138.197.75 > 10.8.0.115: ICMP echo reply, id 1420, seq 17, length 64
00:26:37.955214 IP 10.8.0.115 > 217.138.197.75: ICMP echo request, id 1420, seq 18, length 64
