13:02:49.044351 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 2, length 64
13:02:49.528685 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 2, length 64
13:02:50.045359 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 3, length 64
13:02:50.529675 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 3, length 64
13:02:51.046207 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 4, length 64
13:02:51.530234 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 4, length 64
13:02:52.046972 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 5, length 64
13:02:52.531314 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 5, length 64
13:02:53.048051 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 6, length 64
13:02:53.532656 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 6, length 64
13:02:54.049406 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 7, length 64
13:02:54.534928 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 7, length 64
13:02:55.050676 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 8, length 64
13:02:55.534972 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 8, length 64
13:02:56.051724 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 9, length 64
13:02:56.536476 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 9, length 64
13:02:57.053222 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 10, length 64
13:02:57.537644 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 10, length 64
13:02:58.054212 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 11, length 64
13:02:58.538660 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 11, length 64
13:02:59.055403 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 12, length 64
13:02:59.540340 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 12, length 64
13:03:00.056081 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 13, length 64
13:03:00.540734 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 13, length 64
13:03:01.057479 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 14, length 64
13:03:01.541946 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 14, length 64
13:03:02.058238 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 15, length 64
13:03:02.542571 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 15, length 64
13:03:03.059315 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 16, length 64
13:03:03.543715 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 16, length 64
13:03:04.060459 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 17, length 64
13:03:04.544663 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 17, length 64
13:03:05.061424 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 18, length 64
13:03:05.546130 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 18, length 64
13:03:06.062893 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 19, length 64
13:03:06.547295 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 19, length 64
13:03:07.064057 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 20, length 64
13:03:07.548560 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 20, length 64
13:03:08.065312 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 21, length 64
13:03:08.549781 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 21, length 64
13:03:09.066536 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 22, length 64
13:03:09.551004 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 22, length 64
13:03:10.067756 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 23, length 64
13:03:10.552816 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 23, length 64
13:03:11.068571 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 24, length 64
13:03:11.553244 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 24, length 64
13:03:12.069999 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 25, length 64
13:03:12.554702 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 25, length 64
13:03:13.071456 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 26, length 64
13:03:13.555718 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 26, length 64
13:03:14.072481 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 27, length 64
13:03:14.557044 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 27, length 64
13:03:15.073799 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 28, length 64
13:03:15.558387 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 28, length 64
13:03:16.075139 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 29, length 64
13:03:16.559608 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 29, length 64
13:03:17.076368 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 30, length 64
13:03:17.562128 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 30, length 64
13:03:18.077893 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 31, length 64
13:03:18.563108 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 31, length 64
13:03:19.078862 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 32, length 64
13:03:19.563507 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 32, length 64
13:03:20.080263 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 33, length 64
13:03:20.564985 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 33, length 64
13:03:21.081745 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 34, length 64
13:03:21.566206 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 34, length 64
13:03:22.082960 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 35, length 64
13:03:22.573045 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 35, length 64
13:03:23.083840 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 36, length 64
13:03:23.568446 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 36, length 64
13:03:24.085196 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 37, length 64
13:03:24.569779 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 37, length 64
13:03:25.086222 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 38, length 64
13:03:25.570701 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 38, length 64
13:03:26.087452 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 39, length 64
13:03:26.571928 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 39, length 64
13:03:27.088681 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 40, length 64
13:03:27.574375 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 40, length 64
13:03:28.090150 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 41, length 64
13:03:28.574827 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 41, length 64
13:03:29.091578 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 42, length 64
13:03:29.576819 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 42, length 64
13:03:30.092571 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 43, length 64
13:03:30.576815 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 43, length 64
13:03:31.093567 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 44, length 64
13:03:31.578326 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 44, length 64
13:03:32.095086 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 45, length 64
13:03:32.579510 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 45, length 64
13:03:33.096272 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 46, length 64
13:03:33.580749 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 46, length 64
13:03:34.097499 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 47, length 64
13:03:34.581946 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 47, length 64
13:03:35.098702 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 48, length 64
13:03:35.583357 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 48, length 64
13:03:36.100108 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 49, length 64
13:03:36.584470 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 49, length 64
13:03:37.101230 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 50, length 64
13:03:37.585711 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 50, length 64
13:03:38.102477 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 51, length 64
13:03:38.587317 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 51, length 64
13:03:39.103079 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 52, length 64
13:03:39.587467 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 52, length 64
13:03:40.104220 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 53, length 64
13:03:40.588558 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 53, length 64
13:03:41.105310 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 54, length 64
13:03:41.589863 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 54, length 64
13:03:42.106634 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 55, length 64
13:03:42.590998 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 55, length 64
13:03:43.107750 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 56, length 64
13:03:43.592031 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 56, length 64
13:03:44.108783 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 57, length 64
13:03:44.593256 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 57, length 64
13:03:45.110021 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 58, length 64
13:03:45.594286 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 58, length 64
13:03:46.111037 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 59, length 64
13:03:46.595949 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 59, length 64
13:03:47.111698 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 60, length 64
13:03:47.596624 IP 45.228.209.43 > 10.8.1.4: ICMP echo reply, id 1944, seq 60, length 64
13:03:48.112375 IP 10.8.1.4 > 45.228.209.43: ICMP echo request, id 1944, seq 61, length 64
