19:01:12.533954 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 2, length 64
19:01:13.022105 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 2, length 64
19:01:13.533842 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 3, length 64
19:01:14.024155 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 3, length 64
19:01:14.533900 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 4, length 64
19:01:15.022180 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 4, length 64
19:01:15.533922 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 5, length 64
19:01:16.022792 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 5, length 64
19:01:16.533529 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 6, length 64
19:01:17.022204 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 6, length 64
19:01:17.533943 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 7, length 64
19:01:18.022158 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 7, length 64
19:01:18.533894 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 8, length 64
19:01:19.022068 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 8, length 64
19:01:19.533813 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 9, length 64
19:01:20.022034 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 9, length 64
19:01:20.533762 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 10, length 64
19:01:21.022492 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 10, length 64
19:01:21.534227 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 11, length 64
19:01:22.022503 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 11, length 64
19:01:22.534233 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 12, length 64
19:01:23.022522 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 12, length 64
19:01:23.534248 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 13, length 64
19:01:24.022674 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 13, length 64
19:01:24.534404 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 14, length 64
19:01:25.022504 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 14, length 64
19:01:25.534240 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 15, length 64
19:01:26.022552 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 15, length 64
19:01:26.534287 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 16, length 64
19:01:27.023592 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 16, length 64
19:01:27.534322 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 17, length 64
19:01:28.022799 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 17, length 64
19:01:28.534533 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 18, length 64
19:01:29.027665 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 18, length 64
19:01:29.534393 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 19, length 64
19:01:30.023211 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 19, length 64
19:01:30.534945 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 20, length 64
19:01:31.023256 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 20, length 64
19:01:31.535010 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 21, length 64
19:01:32.023275 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 21, length 64
19:01:32.535014 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 22, length 64
19:01:33.023423 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 22, length 64
19:01:33.535152 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 23, length 64
19:01:34.023720 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 23, length 64
19:01:34.535448 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 24, length 64
19:01:35.023726 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 24, length 64
19:01:35.535456 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 25, length 64
19:01:36.023769 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 25, length 64
19:01:36.535499 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 26, length 64
19:01:37.024154 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 26, length 64
19:01:37.535881 IP 10.8.1.6 > 192.154.198.15: ICMP echo request, id 206, seq 27, length 64
19:01:38.024342 IP 192.154.198.15 > 10.8.1.6: ICMP echo reply, id 206, seq 27, length 64
