18:56:52.091318 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 1, length 64
18:56:52.421673 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 1, length 64
18:56:53.271480 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 2, length 64
18:56:53.602550 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 2, length 64
18:56:54.272431 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 3, length 64
18:56:54.602489 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 3, length 64
18:56:55.273389 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 4, length 64
18:56:55.603439 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 4, length 64
18:56:56.274290 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 5, length 64
18:56:56.605069 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 5, length 64
18:56:57.275961 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 6, length 64
18:56:57.606556 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 6, length 64
18:56:58.277458 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 7, length 64
18:56:58.607311 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 7, length 64
18:56:59.278199 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 8, length 64
18:56:59.609774 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 8, length 64
18:57:00.279678 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 9, length 64
18:57:00.610140 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 9, length 64
18:57:01.281031 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 10, length 64
18:57:01.611351 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 10, length 64
18:57:02.282257 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 11, length 64
18:57:02.612784 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 11, length 64
18:57:03.283669 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 12, length 64
18:57:03.613826 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 12, length 64
18:57:04.284240 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 13, length 64
18:57:04.614413 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 13, length 64
18:57:05.285313 IP 10.8.1.6 > 86.106.137.187: ICMP echo request, id 192, seq 14, length 64
18:57:05.615668 IP 86.106.137.187 > 10.8.1.6: ICMP echo reply, id 192, seq 14, length 64
