19:02:09.787251 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 3, length 64
19:02:10.192643 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 3, length 64
19:02:10.787414 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 4, length 64
19:02:11.193039 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 4, length 64
19:02:11.787894 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 5, length 64
19:02:12.194062 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 5, length 64
19:02:12.787898 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 6, length 64
19:02:13.193524 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 6, length 64
19:02:13.788358 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 7, length 64
19:02:14.194105 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 7, length 64
19:02:14.788936 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 8, length 64
19:02:15.194497 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 8, length 64
19:02:15.789342 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 9, length 64
19:02:16.194956 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 9, length 64
19:02:16.789795 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 10, length 64
19:02:17.195390 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 10, length 64
19:02:17.790221 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 11, length 64
19:02:18.195788 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 11, length 64
19:02:18.790615 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 12, length 64
19:02:19.196019 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 12, length 64
19:02:19.790855 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 13, length 64
19:02:20.196434 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 13, length 64
19:02:20.791263 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 14, length 64
19:02:21.196829 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 14, length 64
19:02:21.791648 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 15, length 64
19:02:22.197077 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 15, length 64
19:02:22.791896 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 16, length 64
19:02:23.197449 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 16, length 64
19:02:23.792197 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 17, length 64
19:02:24.197757 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 17, length 64
19:02:24.792576 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 18, length 64
19:02:25.197779 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 18, length 64
19:02:25.792608 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 19, length 64
19:02:26.198155 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 19, length 64
19:02:26.792984 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 20, length 64
19:02:27.198329 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 20, length 64
19:02:27.793157 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 21, length 64
19:02:28.198531 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 21, length 64
19:02:28.793366 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 22, length 64
19:02:29.198564 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 22, length 64
19:02:29.793395 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 23, length 64
19:02:30.198986 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 23, length 64
19:02:30.793823 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 24, length 64
19:02:31.199567 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 24, length 64
19:02:31.794400 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 25, length 64
19:02:32.200011 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 25, length 64
19:02:32.794870 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 26, length 64
19:02:33.200470 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 26, length 64
19:02:33.795292 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 27, length 64
19:02:34.200654 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 27, length 64
19:02:34.795474 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 28, length 64
19:02:35.201084 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 28, length 64
19:02:35.795903 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 29, length 64
19:02:36.202067 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 29, length 64
19:02:36.795888 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 30, length 64
19:02:37.201541 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 30, length 64
19:02:37.796377 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 31, length 64
19:02:38.201737 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 31, length 64
19:02:38.796560 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 32, length 64
19:02:39.202385 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 32, length 64
19:02:39.797210 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 33, length 64
19:02:40.205377 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 33, length 64
19:02:40.797208 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 34, length 64
19:02:41.203049 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 34, length 64
19:02:41.796885 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 35, length 64
19:02:42.202565 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 35, length 64
19:02:42.797387 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 36, length 64
19:02:43.203057 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 36, length 64
19:02:43.797880 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 37, length 64
19:02:44.206666 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 37, length 64
19:02:44.798490 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 38, length 64
19:02:45.204242 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 38, length 64
19:02:45.799066 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 39, length 64
19:02:46.204537 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 39, length 64
19:02:46.799374 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 40, length 64
19:02:47.204700 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 40, length 64
19:02:47.799533 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 41, length 64
19:02:48.205523 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 41, length 64
19:02:48.799342 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 42, length 64
19:02:49.204764 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 42, length 64
19:02:49.799586 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 43, length 64
19:02:50.205191 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 43, length 64
19:02:50.800015 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 44, length 64
19:02:51.205164 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 44, length 64
19:02:51.799997 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 45, length 64
19:02:52.205596 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 45, length 64
19:02:52.800432 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 46, length 64
19:02:53.205800 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 46, length 64
19:02:53.800624 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 47, length 64
19:02:54.206481 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 47, length 64
19:02:54.800313 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 48, length 64
19:02:55.205710 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 48, length 64
19:02:55.800544 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 49, length 64
19:02:56.206055 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 49, length 64
19:02:56.800682 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 50, length 64
19:02:57.206135 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 50, length 64
19:02:57.800958 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 51, length 64
19:02:58.206508 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 51, length 64
19:02:58.801341 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 52, length 64
19:02:59.206740 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 52, length 64
19:02:59.801563 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 53, length 64
19:03:00.207183 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 53, length 64
19:03:00.802011 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 54, length 64
19:03:01.207780 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 54, length 64
19:03:01.802610 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 55, length 64
19:03:02.208190 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 55, length 64
19:03:02.803012 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 56, length 64
19:03:03.208647 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 56, length 64
19:03:03.803469 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 57, length 64
19:03:04.208900 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 57, length 64
19:03:04.803726 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 58, length 64
19:03:05.209203 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 58, length 64
19:03:05.804027 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 59, length 64
19:03:06.209477 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 59, length 64
19:03:06.804303 IP 10.8.1.6 > 185.245.86.235: ICMP echo request, id 209, seq 60, length 64
19:03:07.210130 IP 185.245.86.235 > 10.8.1.6: ICMP echo reply, id 209, seq 60, length 64
