02:16:56.977308 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 2, length 64
02:16:57.539586 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 2, length 64
02:16:57.977256 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 3, length 64
02:16:58.524157 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 3, length 64
02:16:58.976868 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 4, length 64
02:16:59.538637 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 4, length 64
02:16:59.977329 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 5, length 64
02:17:00.540650 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 5, length 64
02:17:00.977336 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 6, length 64
02:17:01.514037 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 6, length 64
02:17:01.977737 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 7, length 64
02:17:03.003255 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 8, length 64
02:17:03.564066 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 8, length 64
02:17:04.004750 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 9, length 64
02:17:04.529967 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 9, length 64
02:17:05.005690 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 10, length 64
02:17:05.563975 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 10, length 64
02:17:06.006651 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 11, length 64
02:17:06.558453 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 11, length 64
02:17:07.008142 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 12, length 64
02:17:07.563493 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 12, length 64
02:17:08.009178 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 13, length 64
02:17:08.579860 IP 131.255.4.122 > 10.8.0.6: ICMP echo reply, id 2669, seq 13, length 64
02:17:09.010530 IP 10.8.0.6 > 131.255.4.122: ICMP echo request, id 2669, seq 14, length 64
