02:22:08.027563 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 1, length 64
02:22:08.472010 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 1, length 64
02:22:09.526779 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 2, length 64
02:22:09.971312 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 2, length 64
02:22:10.528072 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 3, length 64
02:22:10.972488 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 3, length 64
02:22:11.529244 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 4, length 64
02:22:11.973939 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 4, length 64
02:22:12.530735 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 5, length 64
02:22:12.975104 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 5, length 64
02:22:13.531866 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 6, length 64
02:22:13.976591 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 6, length 64
02:22:14.533342 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 7, length 64
02:22:14.977632 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 7, length 64
02:22:15.534381 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 8, length 64
02:22:15.978814 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 8, length 64
02:22:16.535565 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 9, length 64
02:22:16.980243 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 9, length 64
02:22:17.536995 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 10, length 64
02:22:17.981477 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 10, length 64
02:22:18.538226 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 11, length 64
02:22:18.982755 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 11, length 64
02:22:19.539507 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 12, length 64
02:22:19.983710 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 12, length 64
02:22:20.540466 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 13, length 64
02:22:20.997914 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 13, length 64
02:22:21.541652 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 14, length 64
02:22:21.985923 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 14, length 64
02:22:22.542687 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 15, length 64
02:22:22.987344 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 15, length 64
02:22:23.544097 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 16, length 64
02:22:23.988573 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 16, length 64
02:22:24.545332 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 17, length 64
02:22:24.989960 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 17, length 64
02:22:25.546713 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 18, length 64
02:22:25.991222 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 18, length 64
02:22:26.547972 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 19, length 64
02:22:26.992421 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 19, length 64
02:22:27.549179 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 20, length 64
02:22:27.994428 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 20, length 64
02:22:28.550184 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 21, length 64
02:22:28.994859 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 21, length 64
02:22:29.551615 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 22, length 64
02:22:30.002050 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 22, length 64
02:22:30.551798 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 23, length 64
02:22:30.996833 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 23, length 64
02:22:31.552589 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 24, length 64
02:22:31.996885 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 24, length 64
02:22:32.553638 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 25, length 64
02:22:32.998096 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 25, length 64
02:22:33.554849 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 26, length 64
02:22:33.999530 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 26, length 64
02:22:34.556283 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 27, length 64
02:22:35.001128 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 27, length 64
02:22:35.556877 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 28, length 64
02:22:36.001203 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 28, length 64
02:22:36.556962 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 29, length 64
02:22:37.001399 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 29, length 64
02:22:37.557111 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 30, length 64
02:22:38.001486 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 30, length 64
02:22:38.557235 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 31, length 64
02:22:39.001998 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 31, length 64
02:22:39.557750 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 32, length 64
02:22:40.002255 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 32, length 64
02:22:40.558003 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 33, length 64
02:22:41.002245 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 33, length 64
02:22:41.557994 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 34, length 64
02:22:42.002275 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 34, length 64
02:22:42.558026 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 35, length 64
02:22:43.002243 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 35, length 64
02:22:43.557993 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 36, length 64
02:22:44.002522 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 36, length 64
02:22:44.558273 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 37, length 64
02:22:45.002901 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 37, length 64
02:22:45.558657 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 38, length 64
02:22:46.002924 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 38, length 64
02:22:46.558677 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 39, length 64
02:22:47.003549 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 39, length 64
02:22:47.558297 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 40, length 64
02:22:48.002934 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 40, length 64
02:22:48.558684 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 41, length 64
02:22:49.003507 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 41, length 64
02:22:49.559266 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 42, length 64
02:22:50.003568 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 42, length 64
02:22:50.559332 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 43, length 64
02:22:51.004197 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 43, length 64
02:22:51.558951 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 44, length 64
02:22:52.003549 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 44, length 64
02:22:52.559311 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 45, length 64
02:22:53.003576 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 45, length 64
02:22:53.559325 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 46, length 64
02:22:54.004032 IP 202.87.221.198 > 10.8.0.6: ICMP echo reply, id 2691, seq 46, length 64
02:22:54.559782 IP 10.8.0.6 > 202.87.221.198: ICMP echo request, id 2691, seq 47, length 64
