02:14:51.964085 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 1, length 64
02:14:52.384844 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 1, length 64
02:14:53.083976 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 2, length 64
02:14:53.503280 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 2, length 64
02:14:54.085112 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 3, length 64
02:14:54.504922 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 3, length 64
02:14:55.086743 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 4, length 64
02:14:55.506141 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 4, length 64
02:14:56.087946 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 5, length 64
02:14:56.507370 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 5, length 64
02:14:57.089185 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 6, length 64
02:14:57.508978 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 6, length 64
02:14:58.090792 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 7, length 64
02:14:58.510406 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 7, length 64
02:14:59.092222 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 8, length 64
02:14:59.511997 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 8, length 64
02:15:00.093804 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 9, length 64
02:15:00.512906 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 9, length 64
02:15:01.094711 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 10, length 64
02:15:01.513910 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 10, length 64
02:15:02.095713 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 11, length 64
02:15:02.515134 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 11, length 64
02:15:03.096929 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 12, length 64
02:15:03.515941 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 12, length 64
02:15:04.097750 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 13, length 64
02:15:04.519559 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 13, length 64
02:15:05.099361 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 14, length 64
02:15:05.518572 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 14, length 64
02:15:06.100370 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 15, length 64
02:15:06.519457 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 15, length 64
02:15:07.101267 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 16, length 64
02:15:07.520878 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 16, length 64
02:15:08.102686 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 17, length 64
02:15:08.521917 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 17, length 64
02:15:09.103650 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 18, length 64
02:15:09.522935 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 18, length 64
02:15:10.104745 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 19, length 64
02:15:10.523782 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 19, length 64
02:15:11.105598 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 20, length 64
02:15:11.524958 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 20, length 64
02:15:12.106766 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 21, length 64
02:15:12.526204 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 21, length 64
02:15:13.108010 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 22, length 64
02:15:13.527013 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 22, length 64
02:15:14.108838 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 23, length 64
02:15:14.528078 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 23, length 64
02:15:15.109885 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 24, length 64
02:15:15.529106 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 24, length 64
02:15:16.110913 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 25, length 64
02:15:16.530350 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 25, length 64
02:15:17.112153 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 26, length 64
02:15:17.531387 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 26, length 64
02:15:18.113196 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 27, length 64
02:15:18.532789 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 27, length 64
02:15:19.114581 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 28, length 64
02:15:19.534640 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 28, length 64
02:15:20.115443 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 29, length 64
02:15:20.534680 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 29, length 64
02:15:21.116493 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 30, length 64
02:15:21.535951 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 30, length 64
02:15:22.117755 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 31, length 64
02:15:22.536918 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 31, length 64
02:15:23.118713 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 32, length 64
02:15:23.537956 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 32, length 64
02:15:24.119762 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 33, length 64
02:15:24.539223 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 33, length 64
02:15:25.121043 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 34, length 64
02:15:25.540419 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 34, length 64
02:15:26.122225 IP 10.8.0.6 > 84.17.41.130: ICMP echo request, id 2663, seq 35, length 64
02:15:26.541678 IP 84.17.41.130 > 10.8.0.6: ICMP echo reply, id 2663, seq 35, length 64
