05:55:16.137258 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 2, length 64
05:55:16.404266 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 2, length 64
05:55:17.138238 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 3, length 64
05:55:17.407567 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 3, length 64
05:55:18.139564 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 4, length 64
05:55:18.406232 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 4, length 64
05:55:19.141205 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 5, length 64
05:55:19.409513 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 5, length 64
05:55:20.142509 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 6, length 64
05:55:20.409310 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 6, length 64
05:55:21.144287 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 7, length 64
05:55:21.413699 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 7, length 64
05:55:22.145677 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 8, length 64
05:55:22.413115 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 8, length 64
05:55:23.147094 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 9, length 64
05:55:23.413892 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 9, length 64
05:55:24.148872 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 10, length 64
05:55:24.416295 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 10, length 64
05:55:25.150284 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 11, length 64
05:55:25.417231 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 11, length 64
05:55:26.150707 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 12, length 64
05:55:26.417517 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 12, length 64
05:55:27.152483 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 13, length 64
05:55:27.419495 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 13, length 64
05:55:28.153466 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 14, length 64
05:55:28.420711 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 14, length 64
05:55:29.154680 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 15, length 64
05:55:29.421731 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 15, length 64
05:55:30.155704 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 16, length 64
05:55:30.422513 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 16, length 64
05:55:31.157490 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 17, length 64
05:55:31.424489 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 17, length 64
05:55:32.158463 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 18, length 64
05:55:32.426515 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 18, length 64
05:55:33.159477 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 19, length 64
05:55:33.426299 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 19, length 64
05:55:34.160646 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 20, length 64
05:55:34.427746 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 20, length 64
05:55:35.161545 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 21, length 64
05:55:35.428363 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 21, length 64
05:55:36.163309 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 22, length 64
05:55:36.430048 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 22, length 64
05:55:37.164910 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 23, length 64
05:55:37.431948 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 23, length 64
05:55:38.165892 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 24, length 64
05:55:38.436937 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 24, length 64
05:55:39.166211 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 25, length 64
05:55:39.433127 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 25, length 64
05:55:40.167075 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 26, length 64
05:55:40.433933 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 26, length 64
05:55:41.167875 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 27, length 64
05:55:41.435227 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 27, length 64
05:55:42.169173 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 28, length 64
05:55:42.436939 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 28, length 64
05:55:43.170884 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 29, length 64
05:55:43.438295 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 29, length 64
05:55:44.172241 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 30, length 64
05:55:44.442273 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 30, length 64
05:55:45.173210 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 31, length 64
05:55:45.440739 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 31, length 64
05:55:46.174224 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 32, length 64
05:55:46.445912 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 32, length 64
05:55:47.175849 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 33, length 64
05:55:47.442558 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 33, length 64
05:55:48.177501 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 34, length 64
05:55:48.444398 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 34, length 64
05:55:49.178214 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 35, length 64
05:55:49.444950 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 35, length 64
05:55:50.179894 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 36, length 64
05:55:50.447129 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 36, length 64
05:55:51.181073 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 37, length 64
05:55:51.448736 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 37, length 64
05:55:52.182208 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 38, length 64
05:55:52.451581 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 38, length 64
05:55:53.183560 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 39, length 64
05:55:53.450367 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 39, length 64
05:55:54.185350 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 40, length 64
05:55:54.452343 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 40, length 64
05:55:55.186326 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 41, length 64
05:55:55.453543 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 41, length 64
05:55:56.187517 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 42, length 64
05:55:56.456547 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 42, length 64
05:55:57.188523 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 43, length 64
05:55:57.455356 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 43, length 64
05:55:58.189329 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 44, length 64
05:55:58.455986 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 44, length 64
05:55:59.190960 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 45, length 64
05:55:59.458191 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 45, length 64
05:56:00.192163 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 46, length 64
05:56:00.464066 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 46, length 64
05:56:01.193035 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 47, length 64
05:56:01.459927 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 47, length 64
05:56:02.193905 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 48, length 64
05:56:02.462312 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 48, length 64
05:56:03.195283 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 49, length 64
05:56:03.463375 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 49, length 64
05:56:04.196345 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 50, length 64
05:56:04.463275 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 50, length 64
05:56:05.197243 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 51, length 64
05:56:05.464075 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 51, length 64
05:56:06.198046 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 52, length 64
05:56:06.465981 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 52, length 64
05:56:07.198977 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 53, length 64
05:56:07.466165 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 53, length 64
05:56:08.200142 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 54, length 64
05:56:08.467331 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 54, length 64
05:56:09.201309 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 55, length 64
05:56:09.468281 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 55, length 64
05:56:10.202252 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 56, length 64
05:56:10.469567 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 56, length 64
05:56:11.203540 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 57, length 64
05:56:11.477568 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 57, length 64
05:56:12.204537 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 58, length 64
05:56:12.471159 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 58, length 64
05:56:13.206148 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 59, length 64
05:56:13.473132 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 59, length 64
05:56:14.207098 IP 10.8.0.14 > 217.23.2.31: ICMP echo request, id 343, seq 60, length 64
05:56:14.474876 IP 217.23.2.31 > 10.8.0.14: ICMP echo reply, id 343, seq 60, length 64
