06:10:45.999176 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 2, length 64
06:10:46.298184 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 2, length 64
06:10:46.999147 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 3, length 64
06:10:47.298847 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 3, length 64
06:10:47.999845 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 4, length 64
06:10:48.298075 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 4, length 64
06:10:49.000037 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 5, length 64
06:10:49.298457 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 5, length 64
06:10:50.001421 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 6, length 64
06:10:50.298267 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 6, length 64
06:10:51.002213 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 7, length 64
06:10:51.298060 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 7, length 64
06:10:52.003019 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 8, length 64
06:10:52.298519 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 8, length 64
06:10:53.004479 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 9, length 64
06:10:53.305078 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 9, length 64
06:10:54.006050 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 10, length 64
06:10:54.300940 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 10, length 64
06:10:55.006901 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 11, length 64
06:10:55.302308 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 11, length 64
06:10:56.008277 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 12, length 64
06:10:56.307030 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 12, length 64
06:10:57.009979 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 13, length 64
06:10:57.306200 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 13, length 64
06:10:58.011159 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 14, length 64
06:10:58.306412 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 14, length 64
06:10:59.012373 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 15, length 64
06:10:59.307471 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 15, length 64
06:11:00.013431 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 16, length 64
06:11:00.308493 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 16, length 64
06:11:01.014456 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 17, length 64
06:11:01.309858 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 17, length 64
06:11:02.015818 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 18, length 64
06:11:02.311131 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 18, length 64
06:11:03.017081 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 19, length 64
06:11:03.312705 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 19, length 64
06:11:04.018644 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 20, length 64
06:11:04.313548 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 20, length 64
06:11:05.019496 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 21, length 64
06:11:05.314233 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 21, length 64
06:11:06.021185 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 22, length 64
06:11:06.316585 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 22, length 64
06:11:07.022533 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 23, length 64
06:11:07.317564 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 23, length 64
06:11:08.023530 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 24, length 64
06:11:08.318822 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 24, length 64
06:11:09.024733 IP 10.8.0.14 > 107.150.94.35: ICMP echo request, id 402, seq 25, length 64
06:11:09.319453 IP 107.150.94.35 > 10.8.0.14: ICMP echo reply, id 402, seq 25, length 64
