05:56:17.617667 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 1, length 64
05:56:17.949990 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 1, length 64
05:56:18.671577 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 2, length 64
05:56:19.002860 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 2, length 64
05:56:19.671793 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 3, length 64
05:56:20.003020 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 3, length 64
05:56:20.671937 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 4, length 64
05:56:21.003231 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 4, length 64
05:56:21.672152 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 5, length 64
05:56:22.003836 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 5, length 64
05:56:22.672749 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 6, length 64
05:56:23.009028 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 6, length 64
05:56:23.672937 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 7, length 64
05:56:24.004021 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 7, length 64
05:56:24.672931 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 8, length 64
05:56:25.008896 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 8, length 64
05:56:25.672799 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 9, length 64
05:56:26.004463 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 9, length 64
05:56:26.673368 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 10, length 64
05:56:27.009079 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 10, length 64
05:56:27.673979 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 11, length 64
05:56:28.008861 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 11, length 64
05:56:28.673758 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 12, length 64
05:56:29.008838 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 12, length 64
05:56:29.673739 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 13, length 64
05:56:30.008881 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 13, length 64
05:56:30.673790 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 14, length 64
05:56:31.008848 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 14, length 64
05:56:31.673747 IP 10.8.0.14 > 104.237.193.147: ICMP echo request, id 348, seq 15, length 64
05:56:32.008861 IP 104.237.193.147 > 10.8.0.14: ICMP echo reply, id 348, seq 15, length 64
