06:03:31.639210 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 2, length 64
06:03:32.281089 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 3, length 64
06:03:32.639056 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 3, length 64
06:03:33.281964 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 4, length 64
06:03:33.639918 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 4, length 64
06:03:34.282203 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 5, length 64
06:03:34.640161 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 5, length 64
06:03:35.283052 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 6, length 64
06:03:35.641118 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 6, length 64
06:03:36.284012 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 7, length 64
06:03:36.642223 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 7, length 64
06:03:37.285118 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 8, length 64
06:03:37.643782 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 8, length 64
06:03:38.286673 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 9, length 64
06:03:38.644380 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 9, length 64
06:03:39.288269 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 10, length 64
06:03:39.646379 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 10, length 64
06:03:40.289271 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 11, length 64
06:03:40.647377 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 11, length 64
06:03:41.290279 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 12, length 64
06:03:41.648182 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 12, length 64
06:03:42.291073 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 13, length 64
06:03:42.649119 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 13, length 64
06:03:43.292011 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 14, length 64
06:03:43.650201 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 14, length 64
06:03:44.293096 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 15, length 64
06:03:44.650857 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 15, length 64
06:03:45.294747 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 16, length 64
06:03:45.652989 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 16, length 64
06:03:46.295882 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 17, length 64
06:03:46.653893 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 17, length 64
06:03:47.296790 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 18, length 64
06:03:47.654531 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 18, length 64
06:03:48.298407 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 19, length 64
06:03:48.656471 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 19, length 64
06:03:49.299365 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 20, length 64
06:03:49.657455 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 20, length 64
06:03:50.300347 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 21, length 64
06:03:50.659337 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 21, length 64
06:03:51.301227 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 22, length 64
06:03:51.659201 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 22, length 64
06:03:52.302107 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 23, length 64
06:03:52.660534 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 23, length 64
06:03:53.303346 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 24, length 64
06:03:53.661408 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 24, length 64
06:03:54.304310 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 25, length 64
06:03:54.663097 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 25, length 64
06:03:55.305996 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 26, length 64
06:03:55.664252 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 26, length 64
06:03:56.307139 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 27, length 64
06:03:56.665233 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 27, length 64
06:03:57.308124 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 28, length 64
06:03:57.665880 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 28, length 64
06:03:58.309759 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 29, length 64
06:03:58.667638 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 29, length 64
06:03:59.310532 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 30, length 64
06:03:59.669674 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 30, length 64
06:04:00.311563 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 31, length 64
06:04:00.669268 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 31, length 64
06:04:01.313160 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 32, length 64
06:04:01.671079 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 32, length 64
06:04:02.313972 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 33, length 64
06:04:02.672110 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 33, length 64
06:04:03.314999 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 34, length 64
06:04:03.673502 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 34, length 64
06:04:04.316389 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 35, length 64
06:04:04.674350 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 35, length 64
06:04:05.317241 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 36, length 64
06:04:05.675331 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 36, length 64
06:04:06.318212 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 37, length 64
06:04:06.676146 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 37, length 64
06:04:07.319032 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 38, length 64
06:04:07.676977 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 38, length 64
06:04:08.319866 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 39, length 64
06:04:08.677773 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 39, length 64
06:04:09.320663 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 40, length 64
06:04:09.678806 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 40, length 64
06:04:10.321694 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 41, length 64
06:04:10.679790 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 41, length 64
06:04:11.322677 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 42, length 64
06:04:11.680397 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 42, length 64
06:04:12.324261 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 43, length 64
06:04:12.682210 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 43, length 64
06:04:13.325066 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 44, length 64
06:04:13.683231 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 44, length 64
06:04:14.326136 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 45, length 64
06:04:14.684093 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 45, length 64
06:04:15.326953 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 46, length 64
06:04:15.685359 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 46, length 64
06:04:16.328130 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 47, length 64
06:04:16.686088 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 47, length 64
06:04:17.328974 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 48, length 64
06:04:17.687114 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 48, length 64
06:04:18.330002 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 49, length 64
06:04:18.688123 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 49, length 64
06:04:19.331009 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 50, length 64
06:04:19.688900 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 50, length 64
06:04:20.331786 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 51, length 64
06:04:20.690321 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 51, length 64
06:04:21.333203 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 52, length 64
06:04:21.690967 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 52, length 64
06:04:22.334856 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 53, length 64
06:04:22.692540 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 53, length 64
06:04:23.336421 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 54, length 64
06:04:23.694502 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 54, length 64
06:04:24.337387 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 55, length 64
06:04:24.695368 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 55, length 64
06:04:25.338258 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 56, length 64
06:04:25.696386 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 56, length 64
06:04:26.339268 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 57, length 64
06:04:26.697226 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 57, length 64
06:04:27.340110 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 58, length 64
06:04:27.698058 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 58, length 64
06:04:28.340936 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 59, length 64
06:04:28.698875 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 59, length 64
06:04:29.341759 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 60, length 64
06:04:29.699677 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 60, length 64
06:04:30.342560 IP 10.8.0.14 > 185.245.86.235: ICMP echo request, id 373, seq 61, length 64
06:04:30.700483 IP 185.245.86.235 > 10.8.0.14: ICMP echo reply, id 373, seq 61, length 64
