21:22:22.573731 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 2, length 64
21:22:22.873546 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 2, length 64
21:22:23.575279 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 3, length 64
21:22:23.878154 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 3, length 64
21:22:24.576111 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 4, length 64
21:22:24.876007 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 4, length 64
21:22:25.576955 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 5, length 64
21:22:25.876416 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 5, length 64
21:22:26.578363 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 6, length 64
21:22:26.877831 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 6, length 64
21:22:27.579778 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 7, length 64
21:22:27.879528 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 7, length 64
21:22:28.581472 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 8, length 64
21:22:28.884577 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 8, length 64
21:22:29.582513 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 9, length 64
21:22:29.882161 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 9, length 64
21:22:30.584106 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 10, length 64
21:22:30.884053 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 10, length 64
21:22:31.584906 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 11, length 64
21:22:31.884418 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 11, length 64
21:22:32.586372 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 12, length 64
21:22:32.885944 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 12, length 64
21:22:33.587892 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 13, length 64
21:22:33.888311 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 13, length 64
21:22:34.589278 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 14, length 64
21:22:34.891794 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 14, length 64
21:22:35.590736 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 15, length 64
21:22:35.890324 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 15, length 64
21:22:36.592243 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 16, length 64
21:22:36.891823 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 16, length 64
21:22:37.593702 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 17, length 64
21:22:37.893256 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 17, length 64
21:22:38.595191 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 18, length 64
21:22:38.899448 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 18, length 64
21:22:39.596341 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 19, length 64
21:22:39.896104 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 19, length 64
21:22:40.597997 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 20, length 64
21:22:40.897540 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 20, length 64
21:22:41.599403 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 21, length 64
21:22:41.899120 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 21, length 64
21:22:42.601063 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 22, length 64
21:22:42.900468 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 22, length 64
21:22:43.602417 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 23, length 64
21:22:43.902921 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 23, length 64
21:22:44.603874 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 24, length 64
21:22:44.903566 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 24, length 64
21:22:45.605508 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 25, length 64
21:22:45.910795 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 25, length 64
21:22:46.606684 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 26, length 64
21:22:46.906958 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 26, length 64
21:22:47.607726 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 27, length 64
21:22:47.907426 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 27, length 64
21:22:48.609280 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 28, length 64
21:22:48.912671 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 28, length 64
21:22:49.610559 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 29, length 64
21:22:49.910155 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 29, length 64
21:22:50.612099 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 30, length 64
21:22:50.913006 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 30, length 64
21:22:51.612947 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 31, length 64
21:22:51.912651 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 31, length 64
21:22:52.614603 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 32, length 64
21:22:52.914666 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 32, length 64
21:22:53.615607 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 33, length 64
21:22:53.915451 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 33, length 64
21:22:54.616394 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 34, length 64
21:22:54.919717 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 34, length 64
21:22:55.617662 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 35, length 64
21:22:55.917295 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 35, length 64
21:22:56.619249 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 36, length 64
21:22:56.926375 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 36, length 64
21:22:57.620312 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 37, length 64
21:22:57.920009 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 37, length 64
21:22:58.621952 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 38, length 64
21:22:58.921883 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 38, length 64
21:22:59.622822 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 39, length 64
21:22:59.925326 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 39, length 64
21:23:00.624265 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 40, length 64
21:23:00.924363 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 40, length 64
21:23:01.625307 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 41, length 64
21:23:01.925389 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 41, length 64
21:23:02.626327 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 42, length 64
21:23:02.926298 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 42, length 64
21:23:03.627241 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 43, length 64
21:23:03.931234 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 43, length 64
21:23:04.628153 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 44, length 64
21:23:04.928294 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 44, length 64
21:23:05.629234 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 45, length 64
21:23:05.929143 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 45, length 64
21:23:06.630086 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 46, length 64
21:23:06.932920 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 46, length 64
21:23:07.630857 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 47, length 64
21:23:07.930817 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 47, length 64
21:23:08.631758 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 48, length 64
21:23:08.931369 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 48, length 64
21:23:09.633313 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 49, length 64
21:23:09.933082 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 49, length 64
21:23:10.635032 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 50, length 64
21:23:10.935950 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 50, length 64
21:23:11.635889 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 51, length 64
21:23:11.936134 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 51, length 64
21:23:12.637069 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 52, length 64
21:23:12.937221 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 52, length 64
21:23:13.638160 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 53, length 64
21:23:13.945828 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 53, length 64
21:23:14.639764 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 54, length 64
21:23:14.939660 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 54, length 64
21:23:15.640597 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 55, length 64
21:23:15.940604 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 55, length 64
21:23:16.641539 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 56, length 64
21:23:16.948322 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 56, length 64
21:23:17.643265 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 57, length 64
21:23:17.944780 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 57, length 64
21:23:18.644723 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 58, length 64
21:23:18.944792 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 58, length 64
21:23:19.645737 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 59, length 64
21:23:19.945902 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 59, length 64
21:23:20.646838 IP 10.8.2.9 > 82.102.19.137: ICMP echo request, id 1560, seq 60, length 64
21:23:20.946456 IP 82.102.19.137 > 10.8.2.9: ICMP echo reply, id 1560, seq 60, length 64
