21:32:52.373359 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 2, length 64
21:32:52.686423 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 2, length 64
21:32:53.374342 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 3, length 64
21:32:53.687327 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 3, length 64
21:32:54.375263 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 4, length 64
21:32:54.687859 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 4, length 64
21:32:55.376784 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 5, length 64
21:32:55.689482 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 5, length 64
21:32:56.378405 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 6, length 64
21:32:56.692316 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 6, length 64
21:32:57.379252 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 7, length 64
21:32:57.694341 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 7, length 64
21:32:58.380317 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 8, length 64
21:32:58.693192 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 8, length 64
21:32:59.381112 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 9, length 64
21:32:59.704427 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 9, length 64
21:33:00.382341 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 10, length 64
21:33:00.695610 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 10, length 64
21:33:01.383529 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 11, length 64
21:33:01.696204 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 11, length 64
21:33:02.385123 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 12, length 64
21:33:02.701509 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 12, length 64
21:33:03.386429 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 13, length 64
21:33:03.700078 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 13, length 64
21:33:04.388002 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 14, length 64
21:33:04.701183 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 14, length 64
21:33:05.389106 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 15, length 64
21:33:05.702015 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 15, length 64
21:33:06.389901 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 16, length 64
21:33:06.702611 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 16, length 64
21:33:07.391499 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 17, length 64
21:33:07.704380 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 17, length 64
21:33:08.392269 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 18, length 64
21:33:08.706352 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 18, length 64
21:33:09.393267 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 19, length 64
21:33:09.716977 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 19, length 64
21:33:10.394876 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 20, length 64
21:33:10.707672 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 20, length 64
21:33:11.396595 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 21, length 64
21:33:11.709330 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 21, length 64
21:33:12.398255 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 22, length 64
21:33:12.710789 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 22, length 64
21:33:13.399674 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 23, length 64
21:33:13.712556 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 23, length 64
21:33:14.400479 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 24, length 64
21:33:14.713424 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 24, length 64
21:33:15.401345 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 25, length 64
21:33:15.715866 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 25, length 64
21:33:16.402783 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 26, length 64
21:33:16.716109 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 26, length 64
21:33:17.404026 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 27, length 64
21:33:17.716693 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 27, length 64
21:33:18.405616 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 28, length 64
21:33:18.718305 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 28, length 64
21:33:19.407227 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 29, length 64
21:33:19.721569 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 29, length 64
21:33:20.408496 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 30, length 64
21:33:20.721319 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 30, length 64
21:33:21.410239 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 31, length 64
21:33:21.723061 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 31, length 64
21:33:22.410997 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 32, length 64
21:33:22.723609 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 32, length 64
21:33:23.412528 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 33, length 64
21:33:23.725200 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 33, length 64
21:33:24.414119 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 34, length 64
21:33:24.730071 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 34, length 64
21:33:25.414990 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 35, length 64
21:33:25.727680 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 35, length 64
21:33:26.416605 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 36, length 64
21:33:26.729487 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 36, length 64
21:33:27.417412 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 37, length 64
21:33:27.731694 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 37, length 64
21:33:28.418618 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 38, length 64
21:33:28.741561 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 38, length 64
21:33:29.419467 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 39, length 64
21:33:29.732184 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 39, length 64
21:33:30.421109 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 40, length 64
21:33:30.734004 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 40, length 64
21:33:31.421925 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 41, length 64
21:33:31.737893 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 41, length 64
21:33:32.422818 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 42, length 64
21:33:32.735650 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 42, length 64
21:33:33.423573 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 43, length 64
21:33:33.741083 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 43, length 64
21:33:34.425010 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 44, length 64
21:33:34.737934 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 44, length 64
21:33:35.425857 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 45, length 64
21:33:35.738751 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 45, length 64
21:33:36.426673 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 46, length 64
21:33:36.740789 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 46, length 64
21:33:37.427710 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 47, length 64
21:33:37.742595 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 47, length 64
21:33:38.428515 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 48, length 64
21:33:38.741238 IP 84.247.48.83 > 10.8.2.9: ICMP echo reply, id 1600, seq 48, length 64
21:33:39.430154 IP 10.8.2.9 > 84.247.48.83: ICMP echo request, id 1600, seq 49, length 64
