22:00:21.331009 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 2, length 64
22:00:21.776516 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 2, length 64
22:00:22.332286 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 3, length 64
22:00:22.770944 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 3, length 64
22:00:23.333757 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 4, length 64
22:00:23.772774 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 4, length 64
22:00:24.334563 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 5, length 64
22:00:24.773410 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 5, length 64
22:00:25.335210 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 6, length 64
22:00:25.774451 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 6, length 64
22:00:26.336253 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 7, length 64
22:00:26.776649 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 7, length 64
22:00:27.337450 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 8, length 64
22:00:27.776468 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 8, length 64
22:00:28.338275 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 9, length 64
22:00:28.777144 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 9, length 64
22:00:29.338949 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 10, length 64
22:00:29.781982 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 10, length 64
22:00:30.339780 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 11, length 64
22:00:30.779381 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 11, length 64
22:00:31.341181 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 12, length 64
22:00:31.780204 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 12, length 64
22:00:32.342007 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 13, length 64
22:00:32.781238 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 13, length 64
22:00:33.343030 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 14, length 64
22:00:33.791629 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 14, length 64
22:00:34.344427 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 15, length 64
22:00:34.789086 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 15, length 64
22:00:35.345884 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 16, length 64
22:00:35.785899 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 16, length 64
22:00:36.346700 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 17, length 64
22:00:36.785749 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 17, length 64
22:00:37.347540 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 18, length 64
22:00:37.786568 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 18, length 64
22:00:38.348370 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 19, length 64
22:00:38.788219 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 19, length 64
22:00:39.349027 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 20, length 64
22:00:39.806016 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 20, length 64
22:00:40.349715 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 21, length 64
22:00:40.788919 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 21, length 64
22:00:41.350741 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 22, length 64
22:00:41.790239 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 22, length 64
22:00:42.352043 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 23, length 64
22:00:42.790941 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 23, length 64
22:00:43.352747 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 24, length 64
22:00:43.791749 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 24, length 64
22:00:44.353554 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 25, length 64
22:00:44.792981 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 25, length 64
22:00:45.354787 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 26, length 64
22:00:45.793820 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 26, length 64
22:00:46.355627 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 27, length 64
22:00:46.796706 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 27, length 64
22:00:47.356516 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 28, length 64
22:00:47.795428 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 28, length 64
22:00:48.357231 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 29, length 64
22:00:48.796321 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 878, seq 29, length 64
22:00:49.358128 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 878, seq 30, length 64
