21:56:16.833562 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 2, length 64
21:56:17.089868 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 2, length 64
21:56:17.833813 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 3, length 64
21:56:18.101491 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 3, length 64
21:56:18.834462 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 4, length 64
21:56:19.088640 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 4, length 64
21:56:19.834042 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 5, length 64
21:56:20.088939 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 5, length 64
21:56:20.833922 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 6, length 64
21:56:21.101578 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 6, length 64
21:56:21.834558 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 7, length 64
21:56:22.095584 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 7, length 64
21:56:22.834562 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 8, length 64
21:56:23.095615 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 8, length 64
21:56:23.834600 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 9, length 64
21:56:24.091183 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 9, length 64
21:56:24.835169 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 10, length 64
21:56:25.095067 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 10, length 64
21:56:25.835044 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 11, length 64
21:56:26.087446 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 11, length 64
21:56:26.835431 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 12, length 64
21:56:27.097509 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 12, length 64
21:56:27.835487 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 13, length 64
21:56:28.093538 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 13, length 64
21:56:28.835520 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 14, length 64
21:56:29.087638 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 14, length 64
21:56:29.835621 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 15, length 64
21:56:30.093236 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 15, length 64
21:56:30.836212 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 16, length 64
21:56:31.092059 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 16, length 64
21:56:31.837015 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 17, length 64
21:56:32.089617 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 17, length 64
21:56:32.837602 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 18, length 64
21:56:33.089929 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 18, length 64
21:56:33.837939 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 19, length 64
21:56:34.091686 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 19, length 64
21:56:34.838673 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 20, length 64
21:56:35.098730 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 20, length 64
21:56:35.838701 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 21, length 64
21:56:36.091415 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 21, length 64
21:56:36.839403 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 22, length 64
21:56:37.092052 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 22, length 64
21:56:37.840016 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 23, length 64
21:56:38.093120 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 23, length 64
21:56:38.840121 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 24, length 64
21:56:39.092474 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 24, length 64
21:56:39.840467 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 25, length 64
21:56:40.092856 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 25, length 64
21:56:40.840837 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 26, length 64
21:56:41.093349 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 26, length 64
21:56:41.841340 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 27, length 64
21:56:42.096024 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 27, length 64
21:56:42.842014 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 28, length 64
21:56:43.095018 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 28, length 64
21:56:43.842004 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 863, seq 29, length 64
21:56:44.094607 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 863, seq 29, length 64
