22:01:23.684303 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 2, length 64
22:01:24.203591 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 2, length 64
22:01:24.684184 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 3, length 64
22:01:25.200608 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 3, length 64
22:01:25.684338 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 4, length 64
22:01:26.219144 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 4, length 64
22:01:26.684839 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 5, length 64
22:01:27.207407 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 5, length 64
22:01:27.685122 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 6, length 64
22:01:28.204483 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 6, length 64
22:01:28.685170 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 7, length 64
22:01:29.223415 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 7, length 64
22:01:29.685127 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 8, length 64
22:01:30.214936 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 8, length 64
22:01:30.685660 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 9, length 64
22:01:31.199742 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 9, length 64
22:01:31.685471 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 10, length 64
22:01:32.191991 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 10, length 64
22:01:32.685741 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 11, length 64
22:01:33.166418 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 11, length 64
22:01:33.686179 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 12, length 64
22:01:34.195235 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 12, length 64
22:01:34.685965 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 13, length 64
22:01:35.206095 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 13, length 64
22:01:35.685818 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 14, length 64
22:01:36.196619 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 14, length 64
22:01:36.686348 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 15, length 64
22:01:37.206725 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 15, length 64
22:01:37.686445 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 16, length 64
22:01:38.191720 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 16, length 64
22:01:38.686452 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 17, length 64
22:01:39.206767 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 17, length 64
22:01:39.686485 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 18, length 64
22:01:40.186588 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 18, length 64
22:01:40.686287 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 19, length 64
22:01:41.215027 IP 210.217.18.78 > 10.8.0.5: ICMP echo reply, id 882, seq 19, length 64
22:01:41.686731 IP 10.8.0.5 > 210.217.18.78: ICMP echo request, id 882, seq 20, length 64
