19:04:58.850127 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 2, length 64
19:04:59.320727 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 2, length 64
19:04:59.850492 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 3, length 64
19:05:00.321811 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 3, length 64
19:05:00.850577 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 4, length 64
19:05:01.321980 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 4, length 64
19:05:01.850744 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 5, length 64
19:05:02.321211 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 5, length 64
19:05:02.850970 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 6, length 64
19:05:03.321024 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 6, length 64
19:05:03.850786 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 7, length 64
19:05:04.321067 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 7, length 64
19:05:04.850823 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 8, length 64
19:05:05.321289 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 8, length 64
19:05:05.851055 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 9, length 64
19:05:06.321850 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 9, length 64
19:05:06.851613 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 10, length 64
19:05:07.321863 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 10, length 64
19:05:07.851617 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 11, length 64
19:05:08.859242 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 12, length 64
19:05:09.329331 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 12, length 64
19:05:09.859094 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 13, length 64
19:05:10.329292 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 13, length 64
19:05:10.858979 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 14, length 64
19:05:11.332752 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 14, length 64
19:05:11.859522 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 15, length 64
19:05:12.334169 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 15, length 64
19:05:12.859926 IP 10.8.0.10 > 192.145.117.100: ICMP echo request, id 1054, seq 16, length 64
19:05:13.330160 IP 192.145.117.100 > 10.8.0.10: ICMP echo reply, id 1054, seq 16, length 64
