08:48:41.113339 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 2, length 64
08:48:41.447612 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 2, length 64
08:48:42.114525 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 3, length 64
08:48:42.448602 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 3, length 64
08:48:43.115488 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 4, length 64
08:48:43.449737 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 4, length 64
08:48:44.116643 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 5, length 64
08:48:44.450648 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 5, length 64
08:48:45.117558 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 6, length 64
08:48:45.451924 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 6, length 64
08:48:46.118166 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 7, length 64
08:48:46.452436 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 7, length 64
08:48:47.119305 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 8, length 64
08:48:47.453260 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 8, length 64
08:48:48.120186 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 9, length 64
08:48:48.454184 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 9, length 64
08:48:49.121106 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 10, length 64
08:48:49.455392 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 10, length 64
08:48:50.122264 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 11, length 64
08:48:50.456230 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 11, length 64
08:48:51.123069 IP 10.8.2.7 > 82.102.20.236: ICMP echo request, id 986, seq 12, length 64
08:48:51.457368 IP 82.102.20.236 > 10.8.2.7: ICMP echo reply, id 986, seq 12, length 64
