08:54:55.169523 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 2, length 64
08:54:55.503280 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 2, length 64
08:54:56.171195 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 3, length 64
08:54:56.505143 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 3, length 64
08:54:57.172066 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 4, length 64
08:54:57.506129 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 4, length 64
08:54:58.173044 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 5, length 64
08:54:58.507062 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 5, length 64
08:54:59.173972 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 6, length 64
08:54:59.508059 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 6, length 64
08:55:00.174967 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 7, length 64
08:55:00.508856 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 7, length 64
08:55:01.175764 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 8, length 64
08:55:01.509825 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 8, length 64
08:55:02.176731 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 9, length 64
08:55:02.510503 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 9, length 64
08:55:03.178210 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 10, length 64
08:55:03.512080 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 10, length 64
08:55:04.178984 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 11, length 64
08:55:04.513269 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 11, length 64
08:55:05.180176 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 12, length 64
08:55:05.513839 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 12, length 64
08:55:06.181741 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 13, length 64
08:55:06.515821 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 13, length 64
08:55:07.182213 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 14, length 64
08:55:07.516073 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 14, length 64
08:55:08.182970 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 15, length 64
08:55:08.517016 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 15, length 64
08:55:09.183924 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 16, length 64
08:55:09.517862 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 16, length 64
08:55:10.184766 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 17, length 64
08:55:10.518821 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 17, length 64
08:55:11.185732 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 18, length 64
08:55:11.519846 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 18, length 64
08:55:12.186203 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 19, length 64
08:55:12.520049 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 19, length 64
08:55:13.186954 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 20, length 64
08:55:13.521093 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 20, length 64
08:55:14.187998 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 21, length 64
08:55:14.522079 IP 217.138.197.75 > 10.8.2.7: ICMP echo reply, id 1010, seq 21, length 64
08:55:15.188999 IP 10.8.2.7 > 217.138.197.75: ICMP echo request, id 1010, seq 22, length 64
