09:04:17.050259 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 1, length 64
09:04:17.529959 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 1, length 64
09:04:23.226893 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 2, length 64
09:04:23.706236 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 2, length 64
09:04:24.228019 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 3, length 64
09:04:24.707852 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 3, length 64
09:04:25.228632 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 4, length 64
09:04:25.708291 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 4, length 64
09:04:26.230073 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 5, length 64
09:04:26.709692 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 5, length 64
09:04:27.231472 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 6, length 64
09:04:27.711129 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 6, length 64
09:04:28.232906 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 7, length 64
09:04:28.712514 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 7, length 64
09:04:29.234301 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 8, length 64
09:04:29.714330 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 8, length 64
09:04:30.235112 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 9, length 64
09:04:30.714722 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 9, length 64
09:04:31.236503 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 10, length 64
09:04:31.716370 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 10, length 64
09:04:32.237151 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 11, length 64
09:04:32.716764 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 11, length 64
09:04:33.238544 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 12, length 64
09:04:33.717977 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 12, length 64
09:04:34.239766 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 13, length 64
09:04:34.719815 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 13, length 64
09:04:35.240593 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 14, length 64
09:04:35.720021 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 14, length 64
09:04:36.241806 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 15, length 64
09:04:36.721422 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 15, length 64
09:04:37.243201 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 16, length 64
09:04:37.723487 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 16, length 64
09:04:38.244264 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 17, length 64
09:04:38.724266 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 17, length 64
09:04:39.245049 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 18, length 64
09:04:39.725079 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 18, length 64
09:04:40.245855 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 19, length 64
09:04:40.725238 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 19, length 64
09:04:41.247023 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 20, length 64
09:04:41.726527 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 20, length 64
09:04:42.248300 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 21, length 64
09:04:42.727907 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 21, length 64
09:04:43.249647 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 22, length 64
09:04:43.729501 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 22, length 64
09:04:44.250286 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 23, length 64
09:04:44.729967 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 23, length 64
09:04:45.251767 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 24, length 64
09:04:45.731705 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 24, length 64
09:04:46.252447 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 25, length 64
09:04:46.732014 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 25, length 64
09:04:47.253800 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 26, length 64
09:04:47.733344 IP 192.154.196.13 > 10.8.2.7: ICMP echo reply, id 1048, seq 26, length 64
09:04:48.255133 IP 10.8.2.7 > 192.154.196.13: ICMP echo request, id 1048, seq 27, length 64
