17:08:46.785319 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 1, length 64
17:08:49.926532 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 2, length 64
17:08:50.182752 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 2, length 64
17:08:50.926733 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 3, length 64
17:08:51.182892 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 3, length 64
17:08:51.926846 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 4, length 64
17:08:52.183038 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 4, length 64
17:08:52.927037 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 5, length 64
17:08:53.183301 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 5, length 64
17:08:53.927257 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 6, length 64
17:08:54.198508 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 6, length 64
17:08:54.927275 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 7, length 64
17:08:55.199521 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 7, length 64
17:08:55.927280 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 8, length 64
17:08:56.183116 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 8, length 64
17:08:56.927103 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 9, length 64
17:08:57.183760 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 9, length 64
17:08:57.927744 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 10, length 64
17:08:58.184350 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 10, length 64
17:08:58.928357 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 11, length 64
17:08:59.184524 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 11, length 64
17:08:59.928506 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 12, length 64
17:09:00.184448 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 12, length 64
17:09:00.928360 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 13, length 64
17:09:01.184658 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 13, length 64
17:09:01.928605 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 14, length 64
17:09:02.185653 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 14, length 64
17:09:02.928629 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 15, length 64
17:09:03.184738 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 15, length 64
17:09:03.928659 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 16, length 64
17:09:04.184731 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 16, length 64
17:09:04.928706 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 17, length 64
17:09:05.185094 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 17, length 64
17:09:05.928909 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 18, length 64
17:09:06.185306 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 18, length 64
17:09:06.929284 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 19, length 64
17:09:07.185500 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 19, length 64
17:09:07.929477 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 20, length 64
17:09:08.185999 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 20, length 64
17:09:08.929997 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 21, length 64
17:09:09.186491 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 21, length 64
17:09:09.930476 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 22, length 64
17:09:10.186384 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 22, length 64
17:09:10.930327 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 23, length 64
17:09:11.186847 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 23, length 64
17:09:11.930776 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 24, length 64
17:09:12.186948 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 24, length 64
17:09:12.930945 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 25, length 64
17:09:13.187501 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 25, length 64
17:09:13.931459 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 26, length 64
17:09:14.187416 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 26, length 64
17:09:14.931275 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 27, length 64
17:09:15.187300 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 27, length 64
17:09:15.931258 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 28, length 64
17:09:16.187540 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 28, length 64
17:09:16.931201 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 29, length 64
17:09:17.187202 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 29, length 64
17:09:17.931136 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 30, length 64
17:09:18.187419 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 30, length 64
17:09:18.931276 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 31, length 64
17:09:19.187622 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 31, length 64
17:09:19.931250 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 32, length 64
17:09:20.187888 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 32, length 64
17:09:20.931249 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 33, length 64
17:09:21.187309 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 33, length 64
17:09:21.931276 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 34, length 64
17:09:22.187313 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 34, length 64
17:09:22.931273 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 35, length 64
17:09:23.188191 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 35, length 64
17:09:23.931191 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 36, length 64
17:09:24.187316 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 36, length 64
17:09:24.931206 IP 10.8.3.11 > 84.247.48.83: ICMP echo request, id 617, seq 37, length 64
17:09:25.187652 IP 84.247.48.83 > 10.8.3.11: ICMP echo reply, id 617, seq 37, length 64
