17:16:51.607820 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 1, length 64
17:16:52.275920 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 2, length 64
17:16:52.606910 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 2, length 64
17:16:53.276348 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 3, length 64
17:16:53.607813 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 3, length 64
17:16:54.277735 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 4, length 64
17:16:54.608557 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 4, length 64
17:16:55.278464 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 5, length 64
17:16:55.609206 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 5, length 64
17:16:56.280097 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 6, length 64
17:16:56.611036 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 6, length 64
17:16:57.280946 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 7, length 64
17:16:57.611850 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 7, length 64
17:16:58.281740 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 8, length 64
17:16:58.612606 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 8, length 64
17:16:59.282506 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 9, length 64
17:16:59.613982 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 9, length 64
17:17:00.283886 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 10, length 64
17:17:00.614726 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 10, length 64
17:17:01.284627 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 11, length 64
17:17:01.615510 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 11, length 64
17:17:02.285412 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 12, length 64
17:17:02.616122 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 12, length 64
17:17:03.287023 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 13, length 64
17:17:03.624846 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 13, length 64
17:17:04.288740 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 14, length 64
17:17:04.620093 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 14, length 64
17:17:05.289996 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 15, length 64
17:17:05.620805 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 15, length 64
17:17:06.291707 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 16, length 64
17:17:06.622513 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 16, length 64
17:17:07.293418 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 17, length 64
17:17:07.624440 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 17, length 64
17:17:08.294356 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 18, length 64
17:17:08.625222 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 18, length 64
17:17:09.295122 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 19, length 64
17:17:09.628179 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 19, length 64
17:17:10.296069 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 20, length 64
17:17:10.626958 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 20, length 64
17:17:11.296859 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 21, length 64
17:17:11.627532 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 21, length 64
17:17:12.298385 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 22, length 64
17:17:12.629266 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 22, length 64
17:17:13.299178 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 23, length 64
17:17:13.630531 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 23, length 64
17:17:14.300432 IP 10.8.3.11 > 185.65.50.11: ICMP echo request, id 650, seq 24, length 64
17:17:14.631420 IP 185.65.50.11 > 10.8.3.11: ICMP echo reply, id 650, seq 24, length 64
