17:15:50.790653 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 1, length 64
17:15:57.082399 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 2, length 64
17:15:57.312781 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 2, length 64
17:15:58.083246 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 3, length 64
17:15:58.313551 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 3, length 64
17:15:59.084513 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 4, length 64
17:15:59.314733 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 4, length 64
17:16:00.085693 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 5, length 64
17:16:00.316757 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 5, length 64
17:16:01.086713 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 6, length 64
17:16:01.317153 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 6, length 64
17:16:02.088110 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 7, length 64
17:16:02.318337 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 7, length 64
17:16:03.089314 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 8, length 64
17:16:03.319739 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 8, length 64
17:16:04.090700 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 9, length 64
17:16:04.321109 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 9, length 64
17:16:05.092066 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 10, length 64
17:16:05.322267 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 10, length 64
17:16:06.093226 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 11, length 64
17:16:06.324004 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 11, length 64
17:16:07.094968 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 12, length 64
17:16:07.325595 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 12, length 64
17:16:08.096524 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 13, length 64
17:16:08.326962 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 13, length 64
17:16:09.097949 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 14, length 64
17:16:09.328443 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 14, length 64
17:16:10.099426 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 15, length 64
17:16:10.329994 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 15, length 64
17:16:11.100917 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 16, length 64
17:16:11.331405 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 16, length 64
17:16:12.102401 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 17, length 64
17:16:12.332781 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 17, length 64
17:16:13.103766 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 18, length 64
17:16:13.334324 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 18, length 64
17:16:14.105323 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 19, length 64
17:16:14.335665 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 19, length 64
17:16:15.106664 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 20, length 64
17:16:15.337418 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 20, length 64
17:16:16.108421 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 21, length 64
17:16:16.339204 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 21, length 64
17:16:17.110201 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 22, length 64
17:16:17.340926 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 22, length 64
17:16:18.111925 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 23, length 64
17:16:18.342499 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 23, length 64
17:16:19.113499 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 24, length 64
17:16:19.343882 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 24, length 64
17:16:20.114875 IP 10.8.3.11 > 192.145.118.100: ICMP echo request, id 645, seq 25, length 64
17:16:20.346847 IP 192.145.118.100 > 10.8.3.11: ICMP echo reply, id 645, seq 25, length 64
