04:26:31.576696 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 2, length 64
04:26:31.841484 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 2, length 64
04:26:32.578230 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 3, length 64
04:26:32.840919 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 3, length 64
04:26:33.579899 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 4, length 64
04:26:33.842146 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 4, length 64
04:26:34.581120 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 5, length 64
04:26:34.843538 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 5, length 64
04:26:35.582219 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 6, length 64
04:26:35.843835 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 6, length 64
04:26:36.583812 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 7, length 64
04:26:36.856263 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 7, length 64
04:26:37.585226 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 8, length 64
04:26:37.846923 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 8, length 64
04:26:38.586896 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 9, length 64
04:26:38.848297 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 9, length 64
04:26:39.588265 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 10, length 64
04:26:39.854881 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 10, length 64
04:26:40.589864 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 11, length 64
04:26:40.874217 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 11, length 64
04:26:41.591081 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 12, length 64
04:26:41.861169 IP 185.216.34.100 > 10.8.2.3: ICMP echo reply, id 6, seq 12, length 64
04:26:42.592051 IP 10.8.2.3 > 185.216.34.100: ICMP echo request, id 6, seq 13, length 64
