04:40:04.576102 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 2, length 64
04:40:05.049156 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 2, length 64
04:40:05.575938 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 3, length 64
04:40:06.051998 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 3, length 64
04:40:06.575776 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 4, length 64
04:40:07.049096 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 4, length 64
04:40:07.575881 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 5, length 64
04:40:08.052390 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 5, length 64
04:40:08.576163 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 6, length 64
04:40:09.049082 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 6, length 64
04:40:09.575624 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 7, length 64
04:40:10.054524 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 7, length 64
04:40:10.575305 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 8, length 64
04:40:11.051039 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 8, length 64
04:40:11.575824 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 9, length 64
04:40:12.049543 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 9, length 64
04:40:12.576316 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 10, length 64
04:40:13.064773 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 10, length 64
04:40:13.576534 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 11, length 64
04:40:14.049640 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 11, length 64
04:40:14.576429 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 12, length 64
04:40:15.049707 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 12, length 64
04:40:15.576482 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 13, length 64
04:40:16.049850 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 13, length 64
04:40:16.576625 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 14, length 64
04:40:17.049936 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 14, length 64
04:40:17.576708 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 15, length 64
04:40:18.054536 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 15, length 64
04:40:18.576317 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 16, length 64
04:40:19.049858 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 16, length 64
04:40:19.576638 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 17, length 64
04:40:20.050932 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 17, length 64
04:40:20.576713 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 18, length 64
04:40:21.046059 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 18, length 64
04:40:21.576837 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 19, length 64
04:40:22.055794 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 19, length 64
04:40:22.576575 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 20, length 64
04:40:23.050391 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 20, length 64
04:40:23.577174 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 21, length 64
04:40:24.050236 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 21, length 64
04:40:24.576982 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 22, length 64
04:40:25.050148 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 22, length 64
04:40:25.576920 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 23, length 64
04:40:26.050148 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 23, length 64
04:40:26.576933 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 24, length 64
04:40:27.052684 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 24, length 64
04:40:27.577466 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 25, length 64
04:40:28.050723 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 25, length 64
04:40:28.577495 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 26, length 64
04:40:29.050244 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 26, length 64
04:40:29.578035 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 27, length 64
04:40:30.050025 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 27, length 64
04:40:30.577793 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 28, length 64
04:40:31.050389 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 28, length 64
04:40:31.578172 IP 10.8.2.3 > 103.107.196.131: ICMP echo request, id 57, seq 29, length 64
04:40:32.050144 IP 103.107.196.131 > 10.8.2.3: ICMP echo reply, id 57, seq 29, length 64
