04:31:43.135471 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 2, length 64
04:31:43.519667 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 2, length 64
04:31:44.136528 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 3, length 64
04:31:44.522832 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 3, length 64
04:31:45.137692 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 4, length 64
04:31:45.503694 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 4, length 64
04:31:46.138223 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 5, length 64
04:31:46.514004 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 5, length 64
04:31:47.139882 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 6, length 64
04:31:47.501745 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 6, length 64
04:31:48.140629 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 7, length 64
04:31:48.515871 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 7, length 64
04:31:49.141726 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 8, length 64
04:31:49.505219 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 8, length 64
04:31:50.143091 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 9, length 64
04:31:50.506486 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 9, length 64
04:31:51.144359 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 10, length 64
04:31:51.529649 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 10, length 64
04:31:52.145501 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 11, length 64
04:31:52.527108 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 11, length 64
04:31:53.146956 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 12, length 64
04:31:53.510140 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 12, length 64
04:31:54.148020 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 13, length 64
04:31:54.527877 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 13, length 64
04:31:55.148730 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 14, length 64
04:31:55.522976 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 14, length 64
04:31:56.149844 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 15, length 64
04:31:56.514490 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 15, length 64
04:31:57.151322 IP 10.8.2.3 > 217.138.200.179: ICMP echo request, id 27, seq 16, length 64
04:31:57.513806 IP 217.138.200.179 > 10.8.2.3: ICMP echo reply, id 27, seq 16, length 64
