04:40:00.761114 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 2, length 64
04:40:01.261435 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 2, length 64
04:40:01.761199 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 3, length 64
04:40:02.268282 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 3, length 64
04:40:02.761029 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 4, length 64
04:40:03.277871 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 4, length 64
04:40:03.760595 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 5, length 64
04:40:04.268894 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 5, length 64
04:40:04.760633 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 6, length 64
04:40:05.268222 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 6, length 64
04:40:05.760976 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 7, length 64
04:40:06.265081 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 7, length 64
04:40:06.760824 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 8, length 64
04:40:07.266968 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 8, length 64
04:40:07.760711 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 9, length 64
04:40:08.268821 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 9, length 64
04:40:08.760560 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 10, length 64
04:40:09.262266 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 10, length 64
04:40:09.761010 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 11, length 64
04:40:10.271215 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 11, length 64
04:40:10.760956 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 12, length 64
04:40:11.264588 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 12, length 64
04:40:11.761335 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 13, length 64
04:40:12.259673 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 13, length 64
04:40:12.761422 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 14, length 64
04:40:13.261584 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 14, length 64
04:40:13.761338 IP 10.8.2.3 > 45.228.209.43: ICMP echo request, id 58, seq 15, length 64
04:40:14.261556 IP 45.228.209.43 > 10.8.2.3: ICMP echo reply, id 58, seq 15, length 64
