04:42:04.813394 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 1, length 64
04:42:05.223072 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 1, length 64
04:42:06.359665 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 2, length 64
04:42:06.769464 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 2, length 64
04:42:07.361295 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 3, length 64
04:42:07.770585 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 3, length 64
04:42:08.362417 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 4, length 64
04:42:08.771731 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 4, length 64
04:42:09.363554 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 5, length 64
04:42:09.774517 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 5, length 64
04:42:10.364337 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 6, length 64
04:42:10.773086 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 6, length 64
04:42:11.365911 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 7, length 64
04:42:11.776406 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 7, length 64
04:42:12.367232 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 8, length 64
04:42:12.777202 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 8, length 64
04:42:13.368027 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 9, length 64
04:42:13.781136 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 9, length 64
04:42:14.368960 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 10, length 64
04:42:14.778081 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 10, length 64
04:42:15.369925 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 11, length 64
04:42:15.779377 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 11, length 64
04:42:16.371200 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 12, length 64
04:42:16.780091 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 12, length 64
04:42:17.371922 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 13, length 64
04:42:17.781868 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 13, length 64
04:42:18.372688 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 14, length 64
04:42:18.784078 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 14, length 64
04:42:19.373899 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 15, length 64
04:42:19.794981 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 15, length 64
04:42:20.374791 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 16, length 64
04:42:20.789884 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 16, length 64
04:42:21.375706 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 17, length 64
04:42:21.784644 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 17, length 64
04:42:22.376474 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 18, length 64
04:42:22.794474 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 18, length 64
04:42:23.377294 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 19, length 64
04:42:23.786410 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 19, length 64
04:42:24.378203 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 20, length 64
04:42:24.787546 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 20, length 64
04:42:25.379384 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 21, length 64
04:42:25.792874 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 21, length 64
04:42:26.380706 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 22, length 64
04:42:26.793265 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 22, length 64
04:42:27.382119 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 23, length 64
04:42:27.791951 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 23, length 64
04:42:28.382788 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 24, length 64
04:42:28.791904 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 24, length 64
04:42:29.383741 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 25, length 64
04:42:29.792466 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 25, length 64
04:42:30.385295 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 26, length 64
04:42:30.794284 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 26, length 64
04:42:31.386138 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 27, length 64
04:42:31.795425 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 27, length 64
04:42:32.387257 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 28, length 64
04:42:32.797357 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 28, length 64
04:42:33.388171 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 29, length 64
04:42:33.796648 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 29, length 64
04:42:34.389457 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 30, length 64
04:42:34.798675 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 30, length 64
04:42:35.390504 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 31, length 64
04:42:35.808031 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 31, length 64
04:42:36.391836 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 32, length 64
04:42:36.802369 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 32, length 64
04:42:37.393188 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 33, length 64
04:42:37.802980 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 33, length 64
04:42:38.394796 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 34, length 64
04:42:38.818699 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 34, length 64
04:42:39.395501 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 35, length 64
04:42:39.806025 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 35, length 64
04:42:40.396845 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 36, length 64
04:42:40.808802 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 36, length 64
04:42:41.397616 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 37, length 64
04:42:41.806564 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 37, length 64
04:42:42.398383 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 38, length 64
04:42:42.810292 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 38, length 64
04:42:43.399110 IP 10.8.2.3 > 202.87.221.198: ICMP echo request, id 68, seq 39, length 64
04:42:43.810694 IP 202.87.221.198 > 10.8.2.3: ICMP echo reply, id 68, seq 39, length 64
