04:28:35.898213 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 2, length 64
04:28:36.514070 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 3, length 64
04:28:36.908006 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 3, length 64
04:28:37.514867 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 4, length 64
04:28:37.901830 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 4, length 64
04:28:38.515711 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 5, length 64
04:28:38.912162 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 5, length 64
04:28:39.517011 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 6, length 64
04:28:39.903112 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 6, length 64
04:28:40.517957 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 7, length 64
04:28:40.910628 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 7, length 64
04:28:41.519482 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 8, length 64
04:28:41.904315 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 8, length 64
04:28:42.520179 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 9, length 64
04:28:42.905861 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 9, length 64
04:28:43.521724 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 10, length 64
04:28:43.910218 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 10, length 64
04:28:44.523082 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 11, length 64
04:28:44.912728 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 11, length 64
04:28:45.524580 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 12, length 64
04:28:45.909448 IP 107.172.254.33 > 10.8.2.3: ICMP echo reply, id 13, seq 12, length 64
04:28:46.525050 IP 10.8.2.3 > 107.172.254.33: ICMP echo request, id 13, seq 13, length 64
