19:49:11.759169 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 1, length 64
19:49:12.268116 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 1, length 64
19:49:12.882586 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 2, length 64
19:49:13.391391 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 2, length 64
19:49:13.883107 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 3, length 64
19:49:14.393519 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 3, length 64
19:49:14.883245 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 4, length 64
19:49:15.391967 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 4, length 64
19:49:15.883729 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 5, length 64
19:49:16.392797 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 5, length 64
19:49:16.883516 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 6, length 64
19:49:17.393747 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 6, length 64
19:49:17.883460 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 7, length 64
19:49:18.392837 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 7, length 64
19:49:18.883546 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 8, length 64
19:49:19.392220 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 8, length 64
19:49:19.883941 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 9, length 64
19:49:20.392749 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 9, length 64
19:49:20.884474 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 10, length 64
19:49:21.393269 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 10, length 64
19:49:21.884985 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 11, length 64
19:49:22.394837 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 11, length 64
19:49:22.884547 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 12, length 64
19:49:23.393246 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 12, length 64
19:49:23.884960 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 13, length 64
19:49:24.393886 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 13, length 64
19:49:24.884595 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 14, length 64
19:49:25.393497 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 14, length 64
19:49:25.884205 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 15, length 64
19:49:26.392792 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 15, length 64
19:49:26.884195 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 16, length 64
19:49:27.393140 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 16, length 64
19:49:27.883859 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 17, length 64
19:49:28.393592 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 17, length 64
19:49:28.884315 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 18, length 64
19:49:29.393223 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 18, length 64
19:49:29.883954 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 19, length 64
19:49:30.392796 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 19, length 64
19:49:30.883518 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 20, length 64
19:49:31.392837 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 20, length 64
19:49:31.883563 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 21, length 64
19:49:32.392215 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 21, length 64
19:49:32.883869 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 22, length 64
19:49:33.392565 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 22, length 64
19:49:33.884212 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 23, length 64
19:49:34.393107 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 23, length 64
19:49:34.883843 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 24, length 64
19:49:35.392729 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 24, length 64
19:49:35.883467 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 25, length 64
19:49:36.393751 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 25, length 64
19:49:36.883483 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 26, length 64
19:49:37.392759 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 26, length 64
19:49:37.883506 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 27, length 64
19:49:38.392518 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 27, length 64
19:49:38.883251 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 28, length 64
19:49:39.392253 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 28, length 64
19:49:39.882977 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 29, length 64
19:49:40.391789 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 29, length 64
19:49:40.883515 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 30, length 64
19:49:41.393198 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 30, length 64
19:49:41.883916 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 31, length 64
19:49:42.393044 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 31, length 64
19:49:42.883754 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 32, length 64
19:49:43.392634 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 32, length 64
19:49:43.883361 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 33, length 64
19:49:44.392074 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 33, length 64
19:49:44.883822 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 34, length 64
19:49:45.392634 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 34, length 64
19:49:45.884361 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 35, length 64
19:49:46.393634 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 35, length 64
19:49:46.884363 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 36, length 64
19:49:47.399174 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 36, length 64
19:49:47.884900 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 37, length 64
19:49:48.393967 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 37, length 64
19:49:48.884701 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 38, length 64
19:49:49.393509 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 38, length 64
19:49:49.885231 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 39, length 64
19:49:50.394766 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 39, length 64
19:49:50.885496 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 40, length 64
19:49:51.394789 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 40, length 64
19:49:51.885513 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 41, length 64
19:49:52.394226 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 41, length 64
19:49:52.885958 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 42, length 64
19:49:53.394798 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 42, length 64
19:49:53.885526 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 43, length 64
19:49:54.394454 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 43, length 64
19:49:54.885179 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 44, length 64
19:49:55.394072 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 44, length 64
19:49:55.884814 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 45, length 64
19:49:56.394678 IP 116.90.72.43 > 10.8.2.7: ICMP echo reply, id 388, seq 45, length 64
19:49:56.884419 IP 10.8.2.7 > 116.90.72.43: ICMP echo request, id 388, seq 46, length 64
