19:37:48.555649 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 1, length 64
19:37:48.904167 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 1, length 64
19:37:49.555191 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 2, length 64
19:37:49.903025 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 2, length 64
19:37:50.556894 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 3, length 64
19:37:50.905407 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 3, length 64
19:37:51.558257 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 4, length 64
19:37:51.908807 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 4, length 64
19:37:52.559655 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 5, length 64
19:37:52.908246 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 5, length 64
19:37:53.561100 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 6, length 64
19:37:53.909858 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 6, length 64
19:37:54.562707 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 7, length 64
19:37:54.911113 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 7, length 64
19:37:55.563965 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 8, length 64
19:37:55.912691 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 8, length 64
19:37:56.565552 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 9, length 64
19:37:56.916669 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 9, length 64
19:37:57.566520 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 10, length 64
19:37:57.915877 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 10, length 64
19:37:58.567725 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 11, length 64
19:37:58.915990 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 11, length 64
19:37:59.568859 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 12, length 64
19:37:59.917089 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 12, length 64
19:38:00.569939 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 13, length 64
19:38:00.928931 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 13, length 64
19:38:01.570770 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 14, length 64
19:38:01.919596 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 14, length 64
19:38:02.572444 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 15, length 64
19:38:02.920924 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 15, length 64
19:38:03.573773 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 16, length 64
19:38:03.921393 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 16, length 64
19:38:04.575246 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 17, length 64
19:38:04.924046 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 17, length 64
19:38:05.576921 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 18, length 64
19:38:05.924053 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 18, length 64
19:38:06.577917 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 19, length 64
19:38:06.925899 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 19, length 64
19:38:07.578750 IP 10.8.2.7 > 185.106.102.201: ICMP echo request, id 344, seq 20, length 64
19:38:07.927904 IP 185.106.102.201 > 10.8.2.7: ICMP echo reply, id 344, seq 20, length 64
