19:39:53.206749 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 3, length 64
19:39:53.469139 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 3, length 64
19:39:54.208118 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 4, length 64
19:39:54.479629 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 4, length 64
19:39:55.209608 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 5, length 64
19:39:55.471519 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 5, length 64
19:39:56.210490 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 6, length 64
19:39:56.472166 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 6, length 64
19:39:57.212146 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 7, length 64
19:39:57.474179 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 7, length 64
19:39:58.213158 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 8, length 64
19:39:58.475598 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 8, length 64
19:39:59.214578 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 9, length 64
19:39:59.476455 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 9, length 64
19:40:00.215427 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 10, length 64
19:40:00.477412 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 10, length 64
19:40:01.216381 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 11, length 64
19:40:01.478849 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 11, length 64
19:40:02.217829 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 12, length 64
19:40:02.484517 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 12, length 64
19:40:03.219492 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 13, length 64
19:40:03.481304 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 13, length 64
19:40:04.221287 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 14, length 64
19:40:04.486452 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 14, length 64
19:40:05.222422 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 15, length 64
19:40:05.485117 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 15, length 64
19:40:06.224090 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 16, length 64
19:40:06.485908 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 16, length 64
19:40:07.225885 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 17, length 64
19:40:07.489716 IP 85.10.51.63 > 10.8.2.7: ICMP echo reply, id 349, seq 17, length 64
19:40:08.226692 IP 10.8.2.7 > 85.10.51.63: ICMP echo request, id 349, seq 18, length 64
