19:41:56.939962 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 1, length 64
19:41:57.704359 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 2, length 64
19:41:58.175325 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 2, length 64
19:41:58.704119 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 3, length 64
19:41:59.174938 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 3, length 64
19:41:59.703695 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 4, length 64
19:42:00.174010 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 4, length 64
19:42:00.703781 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 5, length 64
19:42:01.175223 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 5, length 64
19:42:01.703987 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 6, length 64
19:42:02.175406 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 6, length 64
19:42:02.704179 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 7, length 64
19:42:03.167642 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 7, length 64
19:42:03.704412 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 8, length 64
19:42:04.169987 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 8, length 64
19:42:04.704766 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 9, length 64
19:42:05.167874 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 9, length 64
19:42:05.704651 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 10, length 64
19:42:06.167490 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 10, length 64
19:42:06.704270 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 11, length 64
19:42:07.175119 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 11, length 64
19:42:07.703885 IP 10.8.2.7 > 165.73.240.43: ICMP echo request, id 359, seq 12, length 64
19:42:08.178310 IP 165.73.240.43 > 10.8.2.7: ICMP echo reply, id 359, seq 12, length 64
