22:17:45.508688 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 1, length 64
22:17:46.688110 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 2, length 64
22:17:47.030714 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 2, length 64
22:17:47.688622 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 3, length 64
22:17:48.031252 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 3, length 64
22:17:48.689152 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 4, length 64
22:17:49.034266 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 4, length 64
22:17:49.689156 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 5, length 64
22:17:50.032099 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 5, length 64
22:17:50.688985 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 6, length 64
22:17:51.035721 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 6, length 64
22:17:51.689604 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 7, length 64
22:17:52.032702 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 7, length 64
22:17:52.689588 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 8, length 64
22:17:53.035583 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 8, length 64
22:17:53.689463 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 9, length 64
22:17:54.031752 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 9, length 64
22:17:54.689640 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 10, length 64
22:17:55.032184 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 10, length 64
22:17:55.690061 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 11, length 64
22:17:56.032789 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 11, length 64
22:17:56.690687 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 12, length 64
22:17:57.032811 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 12, length 64
22:17:57.690689 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 13, length 64
22:17:58.034635 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 13, length 64
22:17:58.690528 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 14, length 64
22:17:59.033645 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 14, length 64
22:17:59.690528 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 15, length 64
22:18:00.033026 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 15, length 64
22:18:00.690914 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 16, length 64
22:18:01.036701 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 16, length 64
22:18:01.691587 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 17, length 64
22:18:02.036071 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 17, length 64
22:18:02.691949 IP 10.8.2.6 > 31.171.152.19: ICMP echo request, id 1772, seq 18, length 64
22:18:03.038712 IP 31.171.152.19 > 10.8.2.6: ICMP echo reply, id 1772, seq 18, length 64
