22:06:37.817832 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 1, length 64
22:06:38.477611 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 2, length 64
22:06:38.817434 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 2, length 64
22:06:39.479259 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 3, length 64
22:06:39.819515 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 3, length 64
22:06:40.480408 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 4, length 64
22:06:40.820051 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 4, length 64
22:06:41.481950 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 5, length 64
22:06:41.821868 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 5, length 64
22:06:42.482761 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 6, length 64
22:06:42.822934 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 6, length 64
22:06:43.483835 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 7, length 64
22:06:43.823505 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 7, length 64
22:06:44.485399 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 8, length 64
22:06:44.825767 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 8, length 64
22:06:45.486661 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 9, length 64
22:06:45.830126 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 9, length 64
22:06:46.488020 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 10, length 64
22:06:46.828805 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 10, length 64
22:06:47.489705 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 11, length 64
22:06:47.830989 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 11, length 64
22:06:48.490883 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 12, length 64
22:06:48.831014 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 12, length 64
22:06:49.491937 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 13, length 64
22:06:49.832071 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 13, length 64
22:06:50.492974 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 14, length 64
22:06:50.832259 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 14, length 64
22:06:51.494172 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 15, length 64
22:06:51.833832 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 15, length 64
22:06:52.495692 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 16, length 64
22:06:52.835952 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 16, length 64
22:06:53.496842 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 17, length 64
22:06:53.836876 IP 89.238.186.244 > 10.8.2.6: ICMP echo reply, id 1729, seq 17, length 64
22:06:54.497769 IP 10.8.2.6 > 89.238.186.244: ICMP echo request, id 1729, seq 18, length 64
