22:24:50.656421 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 1, length 64
22:24:51.377225 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 2, length 64
22:24:51.655450 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 2, length 64
22:24:52.378447 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 3, length 64
22:24:52.659050 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 3, length 64
22:24:53.380042 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 4, length 64
22:24:53.659453 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 4, length 64
22:24:54.381477 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 5, length 64
22:24:54.660273 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 5, length 64
22:24:55.383261 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 6, length 64
22:24:55.661874 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 6, length 64
22:24:56.384835 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 7, length 64
22:24:56.663130 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 7, length 64
22:24:57.386129 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 8, length 64
22:24:57.664702 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 8, length 64
22:24:58.387260 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 9, length 64
22:24:58.665700 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 9, length 64
22:24:59.388665 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 10, length 64
22:24:59.667246 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 10, length 64
22:25:00.390205 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 11, length 64
22:25:00.669568 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 11, length 64
22:25:01.391243 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 12, length 64
22:25:01.669774 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 12, length 64
22:25:02.392731 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 13, length 64
22:25:02.675198 IP 165.231.177.51 > 10.8.2.6: ICMP echo reply, id 1801, seq 13, length 64
22:25:03.394146 IP 10.8.2.6 > 165.231.177.51: ICMP echo request, id 1801, seq 14, length 64
