22:20:48.154899 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 2, length 64
22:20:48.350776 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 2, length 64
22:20:49.155288 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 3, length 64
22:20:49.338589 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 3, length 64
22:20:50.156610 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 4, length 64
22:20:50.350779 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 4, length 64
22:20:51.157813 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 5, length 64
22:20:52.187246 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 6, length 64
22:20:52.370677 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 6, length 64
22:20:53.188730 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 7, length 64
22:20:53.383873 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 7, length 64
22:20:54.189927 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 8, length 64
22:20:54.374853 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 8, length 64
22:20:55.190898 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 9, length 64
22:20:55.374697 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 9, length 64
22:20:56.192746 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 10, length 64
22:20:56.379947 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 10, length 64
22:20:57.193989 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 11, length 64
22:20:57.389121 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 11, length 64
22:20:58.195175 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 12, length 64
22:20:58.379565 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 12, length 64
22:20:59.196615 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 13, length 64
22:20:59.381925 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 13, length 64
22:21:00.197971 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 14, length 64
22:21:00.381754 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 14, length 64
22:21:01.199806 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 15, length 64
22:21:02.203248 IP 10.8.2.6 > 210.217.18.78: ICMP echo request, id 1783, seq 16, length 64
22:21:02.388363 IP 210.217.18.78 > 10.8.2.6: ICMP echo reply, id 1783, seq 16, length 64
