22:11:41.401639 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 1, length 64
22:11:42.815748 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 2, length 64
22:11:43.161124 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 2, length 64
22:11:43.816036 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 3, length 64
22:11:44.161064 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 3, length 64
22:11:44.815954 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 4, length 64
22:11:45.161701 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 4, length 64
22:11:45.816583 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 5, length 64
22:11:46.161703 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 5, length 64
22:11:46.816588 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 6, length 64
22:11:47.162102 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 6, length 64
22:11:47.816985 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 7, length 64
22:11:48.163328 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 7, length 64
22:11:48.817211 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 8, length 64
22:11:49.164978 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 8, length 64
22:11:49.817859 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 9, length 64
22:11:50.164146 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 9, length 64
22:11:50.818028 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 10, length 64
22:11:51.164039 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 10, length 64
22:11:51.817925 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 11, length 64
22:11:52.163201 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 11, length 64
22:11:52.818075 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 12, length 64
22:11:53.163859 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 12, length 64
22:11:53.818746 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 13, length 64
22:11:54.163707 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 13, length 64
22:11:54.818590 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 14, length 64
22:11:55.164229 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 14, length 64
22:11:55.819087 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 15, length 64
22:11:56.164646 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 15, length 64
22:11:56.819541 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 16, length 64
22:11:57.164892 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 16, length 64
22:11:57.819268 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 17, length 64
22:11:58.164718 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 17, length 64
22:11:58.819595 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 18, length 64
22:11:59.164710 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 18, length 64
22:11:59.819602 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 19, length 64
22:12:00.166742 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 19, length 64
22:12:00.819630 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 20, length 64
22:12:01.164938 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 20, length 64
22:12:01.819796 IP 10.8.2.6 > 86.106.137.187: ICMP echo request, id 1749, seq 21, length 64
22:12:02.165739 IP 86.106.137.187 > 10.8.2.6: ICMP echo reply, id 1749, seq 21, length 64
