22:24:51.017017 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 2, length 64
22:24:51.326485 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 2, length 64
22:24:52.018416 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 3, length 64
22:24:52.316907 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 3, length 64
22:24:53.019823 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 4, length 64
22:24:53.316101 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 4, length 64
22:24:54.021043 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 5, length 64
22:24:54.318691 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 5, length 64
22:24:55.022642 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 6, length 64
22:24:55.319451 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 6, length 64
22:24:56.024386 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 7, length 64
22:24:56.321838 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 7, length 64
22:24:57.025767 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 8, length 64
22:24:57.325127 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 8, length 64
22:24:58.027059 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 9, length 64
22:24:58.325594 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 9, length 64
22:24:59.028528 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 10, length 64
22:24:59.325694 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 10, length 64
22:25:00.029643 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 11, length 64
22:25:00.326553 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 11, length 64
22:25:01.030488 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 12, length 64
22:25:01.327945 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 12, length 64
22:25:02.031879 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 13, length 64
22:25:02.328201 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 13, length 64
22:25:03.033144 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 14, length 64
22:25:03.332004 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 14, length 64
22:25:04.033936 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 15, length 64
22:25:04.330619 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 15, length 64
22:25:05.035553 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 16, length 64
22:25:05.332032 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 16, length 64
22:25:06.036969 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 17, length 64
22:25:06.333825 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 17, length 64
22:25:07.037760 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 18, length 64
22:25:07.334436 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 18, length 64
22:25:08.039294 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 19, length 64
22:25:08.337094 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 19, length 64
22:25:09.041030 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 20, length 64
22:25:09.338142 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 20, length 64
22:25:10.042066 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 21, length 64
22:25:10.338648 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 21, length 64
22:25:11.043513 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 22, length 64
22:25:11.340928 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 22, length 64
22:25:12.044870 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 23, length 64
22:25:12.342120 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 23, length 64
22:25:13.046054 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 24, length 64
22:25:13.343107 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 24, length 64
22:25:14.047048 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 25, length 64
22:25:14.343551 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 25, length 64
22:25:15.048487 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 26, length 64
22:25:15.345213 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 26, length 64
22:25:16.050149 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 27, length 64
22:25:16.346950 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 27, length 64
22:25:17.051884 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 28, length 64
22:25:17.351193 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 28, length 64
22:25:18.053125 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 29, length 64
22:25:18.349787 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 29, length 64
22:25:19.054716 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 30, length 64
22:25:19.351817 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 30, length 64
22:25:20.055752 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 31, length 64
22:25:20.353618 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 31, length 64
22:25:21.056554 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 32, length 64
22:25:21.353835 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 32, length 64
22:25:22.057768 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 33, length 64
22:25:22.356278 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 33, length 64
22:25:23.059216 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 34, length 64
22:25:23.355885 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 34, length 64
22:25:24.060821 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 35, length 64
22:25:24.358252 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 35, length 64
22:25:25.062191 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 36, length 64
22:25:25.359097 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 36, length 64
22:25:26.063028 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 37, length 64
22:25:26.359924 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 37, length 64
22:25:27.063859 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 38, length 64
22:25:27.361301 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 38, length 64
22:25:28.065240 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 39, length 64
22:25:28.361728 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 39, length 64
22:25:29.066661 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 40, length 64
22:25:29.363551 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 40, length 64
22:25:30.067486 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 41, length 64
22:25:30.365337 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 41, length 64
22:25:31.068268 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 42, length 64
22:25:31.365380 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 42, length 64
22:25:32.069317 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 43, length 64
22:25:32.365805 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 43, length 64
22:25:33.070743 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 44, length 64
22:25:33.367613 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 44, length 64
22:25:34.071552 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 45, length 64
22:25:34.368457 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 45, length 64
22:25:35.072409 IP 10.8.2.6 > 148.72.164.38: ICMP echo request, id 1799, seq 46, length 64
22:25:35.370819 IP 148.72.164.38 > 10.8.2.6: ICMP echo reply, id 1799, seq 46, length 64
