12:39:56.246228 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 1, length 64
12:39:56.757957 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 1, length 64
12:40:02.116952 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 2, length 64
12:40:02.628843 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 2, length 64
12:40:03.117564 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 3, length 64
12:40:03.643476 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 3, length 64
12:40:04.118178 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 4, length 64
12:40:04.630416 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 4, length 64
12:40:05.119119 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 5, length 64
12:40:05.630883 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 5, length 64
12:40:06.120653 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 6, length 64
12:40:06.632757 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 6, length 64
12:40:07.121501 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 7, length 64
12:40:07.633456 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 7, length 64
12:40:08.122221 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 8, length 64
12:40:08.637088 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 8, length 64
12:40:09.122826 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 9, length 64
12:40:09.635359 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 9, length 64
12:40:10.124100 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 10, length 64
12:40:10.638120 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 10, length 64
12:40:11.124856 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 11, length 64
12:40:11.636503 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 11, length 64
12:40:12.126259 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 12, length 64
12:40:12.639455 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 12, length 64
12:40:13.127186 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 13, length 64
12:40:13.641692 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 13, length 64
12:40:14.128426 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 14, length 64
12:40:14.640593 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 14, length 64
12:40:15.129349 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 15, length 64
12:40:15.641117 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 15, length 64
12:40:16.130809 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 16, length 64
12:40:16.642548 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 16, length 64
12:40:17.132277 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 17, length 64
12:40:17.645819 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 17, length 64
12:40:18.133567 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 18, length 64
12:40:18.649910 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 18, length 64
12:40:19.134634 IP 10.8.2.5 > 103.137.12.179: ICMP echo request, id 1860, seq 19, length 64
12:40:19.646364 IP 103.137.12.179 > 10.8.2.5: ICMP echo reply, id 1860, seq 19, length 64
