12:38:54.130438 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 1, length 64
12:38:54.467317 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 1, length 64
12:38:55.257347 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 2, length 64
12:38:55.601453 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 2, length 64
12:38:56.258222 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 3, length 64
12:38:56.598821 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 3, length 64
12:38:57.259723 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 4, length 64
12:38:57.596521 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 4, length 64
12:38:58.261410 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 5, length 64
12:38:58.598405 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 5, length 64
12:38:59.262300 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 6, length 64
12:38:59.599375 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 6, length 64
12:39:00.263274 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 7, length 64
12:39:00.599775 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 7, length 64
12:39:01.264670 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 8, length 64
12:39:01.601475 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 8, length 64
12:39:02.266381 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 9, length 64
12:39:02.603543 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 9, length 64
12:39:03.267438 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 10, length 64
12:39:03.604235 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 10, length 64
12:39:04.269146 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 11, length 64
12:39:04.605912 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 11, length 64
12:39:05.270814 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 12, length 64
12:39:05.607571 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 12, length 64
12:39:06.272463 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 13, length 64
12:39:06.609084 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 13, length 64
12:39:07.273955 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 14, length 64
12:39:07.610691 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 14, length 64
12:39:08.275558 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 15, length 64
12:39:08.612310 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 15, length 64
12:39:09.277181 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 16, length 64
12:39:09.615557 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 16, length 64
12:39:10.278428 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 17, length 64
12:39:10.615283 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 17, length 64
12:39:11.280164 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 18, length 64
12:39:11.616970 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 18, length 64
12:39:12.281842 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 19, length 64
12:39:12.619074 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 19, length 64
12:39:13.282952 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 20, length 64
12:39:13.619741 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 20, length 64
12:39:14.284624 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 21, length 64
12:39:14.621787 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 21, length 64
12:39:15.285664 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 22, length 64
12:39:15.622496 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 22, length 64
12:39:16.287375 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 23, length 64
12:39:16.625616 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 23, length 64
12:39:17.288494 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 24, length 64
12:39:17.625909 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 24, length 64
12:39:18.289822 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 25, length 64
12:39:18.626965 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 25, length 64
12:39:19.290885 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 26, length 64
12:39:19.631047 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 26, length 64
12:39:20.291954 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 27, length 64
12:39:20.628713 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 27, length 64
12:39:21.293633 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 28, length 64
12:39:21.630422 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 28, length 64
12:39:22.295335 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 29, length 64
12:39:22.632111 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 29, length 64
12:39:23.297015 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 30, length 64
12:39:23.633791 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 30, length 64
12:39:24.298707 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 31, length 64
12:39:24.635597 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 31, length 64
12:39:25.299525 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 32, length 64
12:39:25.636407 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 32, length 64
12:39:26.300317 IP 10.8.2.5 > 66.115.145.3: ICMP echo request, id 1856, seq 33, length 64
12:39:26.636829 IP 66.115.145.3 > 10.8.2.5: ICMP echo reply, id 1856, seq 33, length 64
