12:36:49.886335 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 1, length 64
12:36:50.171049 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 1, length 64
12:36:50.944186 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 2, length 64
12:36:51.228638 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 2, length 64
12:36:51.944621 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 3, length 64
12:36:52.230259 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 3, length 64
12:36:52.945213 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 4, length 64
12:36:53.230244 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 4, length 64
12:36:53.945207 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 5, length 64
12:36:54.230433 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 5, length 64
12:36:54.945389 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 6, length 64
12:36:55.230724 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 6, length 64
12:36:55.945687 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 7, length 64
12:36:56.228816 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 7, length 64
12:36:56.945759 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 8, length 64
12:36:57.230175 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 8, length 64
12:36:57.946135 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 9, length 64
12:36:58.230115 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 9, length 64
12:36:58.946030 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 10, length 64
12:36:59.230523 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 10, length 64
12:36:59.946462 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 11, length 64
12:37:00.228990 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 11, length 64
12:37:00.946934 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 12, length 64
12:37:01.230526 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 12, length 64
12:37:01.947468 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 13, length 64
12:37:02.252286 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 13, length 64
12:37:02.948207 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 14, length 64
12:37:03.232784 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 14, length 64
12:37:03.948722 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 15, length 64
12:37:04.238906 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 15, length 64
12:37:04.948855 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 16, length 64
12:37:05.231010 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 16, length 64
12:37:05.948950 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 17, length 64
12:37:06.234419 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 17, length 64
12:37:06.949350 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 18, length 64
12:37:07.240484 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 18, length 64
12:37:07.949424 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 19, length 64
12:37:08.231632 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 19, length 64
12:37:08.949577 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 20, length 64
12:37:09.233623 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 20, length 64
12:37:09.949576 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 21, length 64
12:37:10.231524 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 21, length 64
12:37:10.949468 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 22, length 64
12:37:11.231683 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 22, length 64
12:37:11.949629 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 23, length 64
12:37:12.231500 IP 196.240.57.99 > 10.8.2.5: ICMP echo reply, id 1848, seq 23, length 64
12:37:12.949444 IP 10.8.2.5 > 196.240.57.99: ICMP echo request, id 1848, seq 24, length 64
