12:38:54.540089 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 3, length 64
12:38:54.823495 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 3, length 64
12:38:55.541370 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 4, length 64
12:38:55.826336 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 4, length 64
12:38:56.542278 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 5, length 64
12:38:56.825485 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 5, length 64
12:38:57.543414 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 6, length 64
12:38:57.826327 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 6, length 64
12:38:58.544260 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 7, length 64
12:38:58.827254 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 7, length 64
12:38:59.545182 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 8, length 64
12:38:59.828171 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 8, length 64
12:39:00.546125 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 9, length 64
12:39:00.829169 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 9, length 64
12:39:01.547099 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 10, length 64
12:39:01.830170 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 10, length 64
12:39:02.548092 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 11, length 64
12:39:02.831170 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 11, length 64
12:39:03.549097 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 12, length 64
12:39:03.832088 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 12, length 64
12:39:04.550009 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 13, length 64
12:39:04.832979 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 13, length 64
12:39:05.550906 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 14, length 64
12:39:05.834052 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 14, length 64
12:39:06.552034 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 15, length 64
12:39:06.834966 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 15, length 64
12:39:07.552943 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 16, length 64
12:39:07.835831 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 16, length 64
12:39:08.553792 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 17, length 64
12:39:08.836668 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 17, length 64
12:39:09.554628 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 18, length 64
12:39:09.841928 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 18, length 64
12:39:10.555896 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 19, length 64
12:39:10.838907 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 19, length 64
12:39:11.556876 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 20, length 64
12:39:11.840134 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 20, length 64
12:39:12.558088 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 21, length 64
12:39:12.841014 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 21, length 64
12:39:13.558978 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 22, length 64
12:39:13.842312 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 22, length 64
12:39:14.560265 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 23, length 64
12:39:14.843232 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 23, length 64
12:39:15.561185 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 24, length 64
12:39:15.844368 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 24, length 64
12:39:16.562330 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 25, length 64
12:39:16.845345 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 25, length 64
12:39:17.563303 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 26, length 64
12:39:17.847251 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 26, length 64
12:39:18.564203 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 27, length 64
12:39:18.847603 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 27, length 64
12:39:19.565573 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 28, length 64
12:39:19.848638 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 28, length 64
12:39:20.566597 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 29, length 64
12:39:20.849496 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 29, length 64
12:39:21.567449 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 30, length 64
12:39:21.850468 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 30, length 64
12:39:22.568428 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 31, length 64
12:39:22.851524 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 31, length 64
12:39:23.569490 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 32, length 64
12:39:23.852683 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 32, length 64
12:39:24.570659 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 33, length 64
12:39:24.853844 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 33, length 64
12:39:25.571818 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 34, length 64
12:39:25.854737 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 34, length 64
12:39:26.572690 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 35, length 64
12:39:26.855685 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 35, length 64
12:39:27.573636 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 36, length 64
12:39:27.856938 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 36, length 64
12:39:28.574903 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 37, length 64
12:39:28.857828 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 37, length 64
12:39:29.575783 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 38, length 64
12:39:29.871925 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 38, length 64
12:39:30.576871 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 39, length 64
12:39:30.859714 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 39, length 64
12:39:31.577676 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 40, length 64
12:39:31.860867 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 40, length 64
12:39:32.578819 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 41, length 64
12:39:32.861727 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 41, length 64
12:39:33.579680 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 42, length 64
12:39:33.862485 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 42, length 64
12:39:34.581447 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 43, length 64
12:39:34.864532 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 43, length 64
12:39:35.582484 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 44, length 64
12:39:35.865377 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 44, length 64
12:39:36.583325 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 45, length 64
12:39:36.866291 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 45, length 64
12:39:37.584256 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 46, length 64
12:39:37.878167 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 46, length 64
12:39:38.585112 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 47, length 64
12:39:38.868246 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 47, length 64
12:39:39.586198 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 48, length 64
12:39:39.869301 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 48, length 64
12:39:40.587257 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 49, length 64
12:39:40.870516 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 49, length 64
12:39:41.588479 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 50, length 64
12:39:41.871505 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 50, length 64
12:39:42.589472 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 51, length 64
12:39:42.872431 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 51, length 64
12:39:43.590380 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 52, length 64
12:39:43.873421 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 52, length 64
12:39:44.591369 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 53, length 64
12:39:44.874528 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 53, length 64
12:39:45.592476 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 54, length 64
12:39:45.875879 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 54, length 64
12:39:46.593835 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 55, length 64
12:39:46.876897 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 55, length 64
12:39:47.594856 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 56, length 64
12:39:47.878224 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 56, length 64
12:39:48.596173 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 57, length 64
12:39:48.879278 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 57, length 64
12:39:49.597234 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 58, length 64
12:39:49.880637 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 58, length 64
12:39:50.598595 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 59, length 64
12:39:50.881647 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 59, length 64
12:39:51.599592 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 60, length 64
12:39:51.882846 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 60, length 64
12:39:52.600802 IP 10.8.2.5 > 82.102.27.211: ICMP echo request, id 1853, seq 61, length 64
12:39:52.884007 IP 82.102.27.211 > 10.8.2.5: ICMP echo reply, id 1853, seq 61, length 64
