12:44:09.062553 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 2, length 64
12:44:09.411390 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 2, length 64
12:44:10.064264 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 3, length 64
12:44:10.413066 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 3, length 64
12:44:11.065939 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 4, length 64
12:44:11.414674 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 4, length 64
12:44:12.067528 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 5, length 64
12:44:12.416147 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 5, length 64
12:44:13.069022 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 6, length 64
12:44:13.417846 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 6, length 64
12:44:14.070696 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 7, length 64
12:44:14.419527 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 7, length 64
12:44:15.072402 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 8, length 64
12:44:15.421130 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 8, length 64
12:44:16.073997 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 9, length 64
12:44:16.422772 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 9, length 64
12:44:17.075650 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 10, length 64
12:44:17.424617 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 10, length 64
12:44:18.076286 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 11, length 64
12:44:18.425320 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 11, length 64
12:44:19.077181 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 12, length 64
12:44:19.425961 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 12, length 64
12:44:20.078204 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 13, length 64
12:44:20.427057 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 13, length 64
12:44:21.078920 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 14, length 64
12:44:21.427903 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 14, length 64
12:44:22.079765 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 15, length 64
12:44:22.428335 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 15, length 64
12:44:23.081201 IP 10.8.2.5 > 192.145.117.100: ICMP echo request, id 1874, seq 16, length 64
12:44:23.430197 IP 192.145.117.100 > 10.8.2.5: ICMP echo reply, id 1874, seq 16, length 64
