00:50:21.096885 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 3, length 64
00:50:21.487504 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 3, length 64
00:50:22.098295 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 4, length 64
00:50:22.489283 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 4, length 64
00:50:23.099137 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 5, length 64
00:50:23.490206 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 5, length 64
00:50:24.100045 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 6, length 64
00:50:24.491009 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 6, length 64
00:50:25.100837 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 7, length 64
00:50:25.493243 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 7, length 64
00:50:26.102068 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 8, length 64
00:50:26.493296 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 8, length 64
00:50:27.103137 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 9, length 64
00:50:27.493238 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 9, length 64
00:50:28.104071 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 10, length 64
00:50:29.116225 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 11, length 64
00:50:29.506297 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 11, length 64
00:50:30.117125 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 12, length 64
00:50:30.508695 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 12, length 64
00:50:31.118531 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 13, length 64
00:50:31.510360 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 13, length 64
00:50:32.120208 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 14, length 64
00:50:32.513372 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 14, length 64
00:50:33.121208 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 15, length 64
00:50:33.513779 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 15, length 64
00:50:34.122617 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 16, length 64
00:50:34.514782 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 16, length 64
00:50:35.123615 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 17, length 64
00:50:35.514989 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 17, length 64
00:50:36.124220 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 18, length 64
00:50:36.516399 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 18, length 64
00:50:37.125233 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 19, length 64
00:50:37.517034 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 19, length 64
00:50:38.126872 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 20, length 64
00:50:38.518026 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 20, length 64
00:50:39.127863 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 21, length 64
00:50:39.519887 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 21, length 64
00:50:40.128194 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 22, length 64
00:50:40.520053 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 22, length 64
00:50:41.128889 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 23, length 64
00:50:41.519648 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 23, length 64
00:50:42.130485 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 24, length 64
00:50:42.521095 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 24, length 64
00:50:43.131938 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 25, length 64
00:50:43.522676 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 25, length 64
00:50:44.133519 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 26, length 64
00:50:44.524084 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 26, length 64
00:50:45.134937 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 27, length 64
00:50:45.525754 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 27, length 64
00:50:46.136600 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 28, length 64
00:50:46.527540 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 28, length 64
00:50:47.137395 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 29, length 64
00:50:47.528756 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 29, length 64
00:50:48.138587 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 30, length 64
00:50:48.530349 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 30, length 64
00:50:49.140188 IP 10.8.1.2 > 185.134.114.44: ICMP echo request, id 1509, seq 31, length 64
00:50:49.533160 IP 185.134.114.44 > 10.8.1.2: ICMP echo reply, id 1509, seq 31, length 64
