00:55:39.016688 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 3, length 64
00:55:39.640995 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 3, length 64
00:55:40.017572 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 4, length 64
00:55:41.020201 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 5, length 64
00:55:41.645814 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 5, length 64
00:55:42.021384 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 6, length 64
00:55:42.647194 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 6, length 64
00:55:43.022793 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 7, length 64
00:55:44.028196 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 8, length 64
00:55:44.653384 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 8, length 64
00:55:45.028979 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 9, length 64
00:55:45.654216 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 9, length 64
00:55:46.029810 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 10, length 64
00:55:46.656075 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 10, length 64
00:55:47.030684 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 11, length 64
00:55:47.656310 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 11, length 64
00:55:48.031911 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 12, length 64
00:55:48.658885 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 12, length 64
00:55:49.032480 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 13, length 64
00:55:49.658118 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 13, length 64
00:55:50.033717 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 14, length 64
00:55:50.659781 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 14, length 64
00:55:51.034380 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 15, length 64
00:55:51.659554 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 15, length 64
00:55:52.035146 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 16, length 64
00:55:52.662133 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 16, length 64
00:55:53.035735 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 17, length 64
00:55:53.660586 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 17, length 64
00:55:54.036203 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 18, length 64
00:55:54.662212 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 18, length 64
00:55:55.036803 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 19, length 64
00:55:55.662201 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 19, length 64
00:55:56.037810 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 20, length 64
00:55:56.662753 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 20, length 64
00:55:57.038360 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 21, length 64
00:55:57.664659 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 21, length 64
00:55:58.039275 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 22, length 64
00:55:58.666071 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 22, length 64
00:55:59.040672 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 23, length 64
00:55:59.666819 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 23, length 64
00:56:00.041416 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 24, length 64
00:56:00.667509 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 24, length 64
00:56:01.042123 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 25, length 64
00:56:02.044198 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 26, length 64
00:56:02.896518 IP 103.62.49.193 > 10.8.1.2: ICMP echo reply, id 1529, seq 26, length 64
00:56:03.044905 IP 10.8.1.2 > 103.62.49.193: ICMP echo request, id 1529, seq 27, length 64
