01:01:31.566876 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 1, length 64
01:01:32.132732 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 1, length 64
01:01:33.021462 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 2, length 64
01:01:33.588073 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 2, length 64
01:01:34.022767 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 3, length 64
01:01:34.588589 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 3, length 64
01:01:35.023276 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 4, length 64
01:01:36.027273 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 5, length 64
01:01:36.998221 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 4, length 64
01:01:36.998277 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 5, length 64
01:01:37.027525 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 6, length 64
01:01:37.595241 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 6, length 64
01:01:38.028910 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 7, length 64
01:01:38.594899 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 7, length 64
01:01:39.029565 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 8, length 64
01:01:39.598123 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 8, length 64
01:01:40.030791 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 9, length 64
01:01:40.597870 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 9, length 64
01:01:41.031527 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 10, length 64
01:01:41.599054 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 10, length 64
01:01:42.032738 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 11, length 64
01:01:42.600827 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 11, length 64
01:01:43.033492 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 12, length 64
01:01:43.599355 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 12, length 64
01:01:44.034039 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 13, length 64
01:01:44.609881 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 13, length 64
01:01:45.034542 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 14, length 64
01:01:45.602700 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 14, length 64
01:01:46.035374 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 15, length 64
01:01:46.602474 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 15, length 64
01:01:47.036155 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 16, length 64
01:01:47.603676 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 16, length 64
01:01:48.037350 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 17, length 64
01:01:48.605910 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 17, length 64
01:01:49.038581 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 18, length 64
01:01:50.043281 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 19, length 64
01:01:51.067241 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 20, length 64
01:01:51.394493 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 18, length 64
01:01:51.396338 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 19, length 64
01:01:51.633319 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 20, length 64
01:01:52.067993 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 21, length 64
01:01:52.633494 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 21, length 64
01:01:53.069171 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 22, length 64
01:01:53.636742 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 22, length 64
01:01:54.070424 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 23, length 64
01:01:54.637540 IP 45.35.204.2 > 10.8.2.2: ICMP echo reply, id 2389, seq 23, length 64
01:01:55.071219 IP 10.8.2.2 > 45.35.204.2: ICMP echo request, id 2389, seq 24, length 64
