19:41:06.865186 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 3, length 64
19:41:07.295760 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 3, length 64
19:41:07.865588 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 4, length 64
19:41:08.300098 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 4, length 64
19:41:08.865966 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 5, length 64
19:41:09.297744 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 5, length 64
19:41:09.866565 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 6, length 64
19:41:10.297805 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 6, length 64
19:41:10.866623 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 7, length 64
19:41:11.297773 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 7, length 64
19:41:11.866594 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 8, length 64
19:41:12.297984 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 8, length 64
19:41:12.866799 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 9, length 64
19:41:13.299355 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 9, length 64
19:41:13.867198 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 10, length 64
19:41:14.298245 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 10, length 64
19:41:14.867069 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 11, length 64
19:41:15.300043 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 11, length 64
19:41:15.866867 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 12, length 64
19:41:16.297811 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 12, length 64
19:41:16.866646 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 13, length 64
19:41:17.298812 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 13, length 64
19:41:17.866626 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 14, length 64
19:41:18.297613 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 14, length 64
19:41:18.866437 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 15, length 64
19:41:19.297649 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 15, length 64
19:41:19.866482 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 16, length 64
19:41:20.298654 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 16, length 64
19:41:20.866474 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 17, length 64
19:41:21.299845 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 17, length 64
19:41:21.866668 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 18, length 64
19:41:22.299637 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 18, length 64
19:41:22.866460 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 19, length 64
19:41:23.297258 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 19, length 64
19:41:23.867085 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 20, length 64
19:41:24.299072 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 20, length 64
19:41:24.866900 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 21, length 64
19:41:25.298259 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 21, length 64
19:41:25.867090 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 22, length 64
19:41:26.302461 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 22, length 64
19:41:26.867263 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 23, length 64
19:41:27.299891 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 23, length 64
19:41:27.867717 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 24, length 64
19:41:28.299716 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 24, length 64
19:41:28.867537 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 25, length 64
19:41:29.301692 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 25, length 64
19:41:29.867516 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 26, length 64
19:41:30.306700 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 26, length 64
19:41:30.867524 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 27, length 64
19:41:31.303856 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 27, length 64
19:41:31.867675 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 28, length 64
19:41:32.299119 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 28, length 64
19:41:32.867957 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 29, length 64
19:41:33.299891 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 29, length 64
19:41:33.867718 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 30, length 64
19:41:34.299121 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 30, length 64
19:41:34.867934 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 31, length 64
19:41:35.305333 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 31, length 64
19:41:35.868156 IP 10.8.1.3 > 185.93.0.98: ICMP echo request, id 1189, seq 32, length 64
19:41:36.301370 IP 185.93.0.98 > 10.8.1.3: ICMP echo reply, id 1189, seq 32, length 64
