06:27:23.240182 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 1, length 64
06:27:23.730968 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 1, length 64
06:27:28.871399 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 2, length 64
06:27:29.362405 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 2, length 64
06:27:29.871169 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 3, length 64
06:27:30.362122 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 3, length 64
06:27:30.870868 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 4, length 64
06:27:31.361716 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 4, length 64
06:27:31.870480 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 5, length 64
06:27:32.361168 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 5, length 64
06:27:32.870930 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 6, length 64
06:27:33.362203 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 6, length 64
06:27:33.870930 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 7, length 64
06:27:34.361622 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 7, length 64
06:27:34.871387 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 8, length 64
06:27:35.902220 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 9, length 64
06:27:36.393128 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 9, length 64
06:27:36.901894 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 10, length 64
06:27:37.393360 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 10, length 64
06:27:37.902132 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 11, length 64
06:27:38.392856 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 11, length 64
06:27:38.902618 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 12, length 64
06:27:39.393506 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 12, length 64
06:27:39.902264 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 13, length 64
06:27:40.393128 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 13, length 64
06:27:40.901479 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 14, length 64
06:27:41.392359 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 14, length 64
06:27:41.901131 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 15, length 64
06:27:42.391958 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 15, length 64
06:27:42.900715 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 16, length 64
06:27:43.391698 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 16, length 64
06:27:43.900459 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 17, length 64
06:27:44.391695 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 17, length 64
06:27:44.900457 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 18, length 64
06:27:45.391378 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 18, length 64
06:27:45.900135 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 19, length 64
06:27:46.390790 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 19, length 64
06:27:46.900557 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 20, length 64
06:27:47.391472 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 20, length 64
06:27:47.900232 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 21, length 64
06:27:48.390933 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 21, length 64
06:27:48.900712 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 22, length 64
06:27:49.391330 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 22, length 64
06:27:49.901093 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 23, length 64
06:27:50.399208 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 23, length 64
06:27:50.900965 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 24, length 64
06:27:51.391624 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 24, length 64
06:27:51.901387 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 25, length 64
06:27:52.392229 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 25, length 64
06:27:52.900986 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 26, length 64
06:27:53.391756 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 26, length 64
06:27:53.901515 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 27, length 64
06:27:54.392490 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 27, length 64
06:27:54.901249 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 28, length 64
06:27:55.392415 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 28, length 64
06:27:55.901173 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 29, length 64
06:27:56.392094 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 29, length 64
06:27:56.900851 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 30, length 64
06:27:57.391906 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 30, length 64
06:27:57.900666 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 31, length 64
06:27:58.391962 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 31, length 64
06:27:58.900719 IP 10.8.3.22 > 103.137.12.179: ICMP echo request, id 466, seq 32, length 64
06:27:59.391730 IP 103.137.12.179 > 10.8.3.22: ICMP echo reply, id 466, seq 32, length 64
