06:24:21.156230 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 2, length 64
06:24:21.605451 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 2, length 64
06:24:22.157232 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 3, length 64
06:24:22.606935 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 3, length 64
06:24:23.158718 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 4, length 64
06:24:23.608569 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 4, length 64
06:24:24.159361 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 5, length 64
06:24:24.608651 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 5, length 64
06:24:25.160433 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 6, length 64
06:24:25.609539 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 6, length 64
06:24:26.161318 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 7, length 64
06:24:26.610931 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 7, length 64
06:24:27.162228 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 8, length 64
06:24:27.611423 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 8, length 64
06:24:28.163199 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 9, length 64
06:24:28.612462 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 9, length 64
06:24:29.164237 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 10, length 64
06:24:29.613545 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 10, length 64
06:24:30.165311 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 11, length 64
06:24:30.614789 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 11, length 64
06:24:31.166228 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 12, length 64
06:24:31.615636 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 12, length 64
06:24:32.167420 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 13, length 64
06:24:32.616691 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 13, length 64
06:24:33.168502 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 14, length 64
06:24:33.621584 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 14, length 64
06:24:34.169367 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 15, length 64
06:24:34.618792 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 15, length 64
06:24:35.170212 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 16, length 64
06:24:35.619666 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 16, length 64
06:24:36.171454 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 17, length 64
06:24:36.620941 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 17, length 64
06:24:37.172727 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 18, length 64
06:24:37.622191 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 18, length 64
06:24:38.173983 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 19, length 64
06:24:38.623447 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 19, length 64
06:24:39.175248 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 20, length 64
06:24:39.624689 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 20, length 64
06:24:40.176476 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 21, length 64
06:24:40.625951 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 21, length 64
06:24:41.177768 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 22, length 64
06:24:41.627015 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 22, length 64
06:24:42.178800 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 23, length 64
06:24:42.628080 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 23, length 64
06:24:43.179873 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 24, length 64
06:24:43.629121 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 24, length 64
06:24:44.180916 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 25, length 64
06:24:44.631001 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 25, length 64
06:24:45.181805 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 26, length 64
06:24:45.631278 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 26, length 64
06:24:46.183083 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 27, length 64
06:24:46.632519 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 27, length 64
06:24:47.184328 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 28, length 64
06:24:47.633760 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 28, length 64
06:24:48.185558 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 29, length 64
06:24:48.635000 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 29, length 64
06:24:49.186768 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 30, length 64
06:24:49.636099 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 30, length 64
06:24:50.187902 IP 10.8.3.22 > 192.154.198.15: ICMP echo request, id 452, seq 31, length 64
06:24:50.637094 IP 192.154.198.15 > 10.8.3.22: ICMP echo reply, id 452, seq 31, length 64
