06:18:05.533814 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 3, length 64
06:18:05.782001 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 3, length 64
06:18:06.535018 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 4, length 64
06:18:06.783249 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 4, length 64
06:18:07.536255 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 5, length 64
06:18:07.785226 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 5, length 64
06:18:08.537212 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 6, length 64
06:18:08.785993 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 6, length 64
06:18:09.538993 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 7, length 64
06:18:09.787092 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 7, length 64
06:18:10.540081 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 8, length 64
06:18:10.788034 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 8, length 64
06:18:11.541022 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 9, length 64
06:18:11.788929 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 9, length 64
06:18:12.541925 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 10, length 64
06:18:12.789920 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 10, length 64
06:18:13.542900 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 11, length 64
06:18:13.790759 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 11, length 64
06:18:14.543735 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 12, length 64
06:18:14.791770 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 12, length 64
06:18:15.544769 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 13, length 64
06:18:15.792803 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 13, length 64
06:18:16.545791 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 14, length 64
06:18:16.794004 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 14, length 64
06:18:17.547010 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 15, length 64
06:18:17.795442 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 15, length 64
06:18:18.548437 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 16, length 64
06:18:18.796459 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 16, length 64
06:18:19.549446 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 17, length 64
06:18:19.797467 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 17, length 64
06:18:20.550457 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 18, length 64
06:18:20.798711 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 18, length 64
06:18:21.551698 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 19, length 64
06:18:21.799903 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 19, length 64
06:18:22.552888 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 20, length 64
06:18:22.800911 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 20, length 64
06:18:23.553899 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 21, length 64
06:18:23.801735 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 21, length 64
06:18:24.554723 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 22, length 64
06:18:24.807589 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 22, length 64
06:18:25.555574 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 23, length 64
06:18:25.803781 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 23, length 64
06:18:26.556772 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 24, length 64
06:18:26.804841 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 24, length 64
06:18:27.557826 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 25, length 64
06:18:27.805729 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 25, length 64
06:18:28.558715 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 26, length 64
06:18:28.806670 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 26, length 64
06:18:29.559656 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 27, length 64
06:18:29.807468 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 27, length 64
06:18:30.561456 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 28, length 64
06:18:30.809721 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 28, length 64
06:18:31.562714 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 29, length 64
06:18:31.810720 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 29, length 64
06:18:32.563710 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 30, length 64
06:18:32.811899 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 30, length 64
06:18:33.564889 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 31, length 64
06:18:33.812753 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 31, length 64
06:18:34.565740 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 32, length 64
06:18:34.813789 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 32, length 64
06:18:35.566776 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 33, length 64
06:18:35.814787 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 33, length 64
06:18:36.567773 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 34, length 64
06:18:36.815551 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 34, length 64
06:18:37.569540 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 35, length 64
06:18:37.817670 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 35, length 64
06:18:38.570658 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 36, length 64
06:18:38.818623 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 36, length 64
06:18:39.571611 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 37, length 64
06:18:39.819488 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 37, length 64
06:18:40.572478 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 38, length 64
06:18:40.820559 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 38, length 64
06:18:41.573542 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 39, length 64
06:18:41.821503 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 39, length 64
06:18:42.574492 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 40, length 64
06:18:42.822337 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 40, length 64
06:18:43.575326 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 41, length 64
06:18:43.823226 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 41, length 64
06:18:44.576215 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 42, length 64
06:18:44.824282 IP 185.130.184.115 > 10.8.3.22: ICMP echo reply, id 427, seq 42, length 64
06:18:45.577268 IP 10.8.3.22 > 185.130.184.115: ICMP echo request, id 427, seq 43, length 64
