06:22:13.621804 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 3, length 64
06:22:13.902162 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 3, length 64
06:22:14.623134 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 4, length 64
06:22:14.903404 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 4, length 64
06:22:15.624364 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 5, length 64
06:22:15.904432 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 5, length 64
06:22:16.625383 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 6, length 64
06:22:16.905808 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 6, length 64
06:22:17.626777 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 7, length 64
06:22:17.907289 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 7, length 64
06:22:18.628264 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 8, length 64
06:22:18.908602 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 8, length 64
06:22:19.629580 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 9, length 64
06:22:19.910461 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 9, length 64
06:22:20.630394 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 10, length 64
06:22:20.910768 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 10, length 64
06:22:21.631746 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 11, length 64
06:22:21.912125 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 11, length 64
06:22:22.633069 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 12, length 64
06:22:22.913508 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 12, length 64
06:22:23.634488 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 13, length 64
06:22:23.914735 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 13, length 64
06:22:24.635686 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 14, length 64
06:22:24.915999 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 14, length 64
06:22:25.636977 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 15, length 64
06:22:25.917187 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 15, length 64
06:22:26.638162 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 16, length 64
06:22:26.918417 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 16, length 64
06:22:27.639377 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 17, length 64
06:22:27.919461 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 17, length 64
06:22:28.640083 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 18, length 64
06:22:28.920444 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 18, length 64
06:22:29.641076 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 19, length 64
06:22:29.921474 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 19, length 64
06:22:30.642219 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 20, length 64
06:22:30.922479 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 20, length 64
06:22:31.643432 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 21, length 64
06:22:31.923708 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 21, length 64
06:22:32.644669 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 22, length 64
06:22:32.925010 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 22, length 64
06:22:33.645966 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 23, length 64
06:22:33.926387 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 23, length 64
06:22:34.647307 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 24, length 64
06:22:34.927766 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 24, length 64
06:22:35.648723 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 25, length 64
06:22:35.928965 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 25, length 64
06:22:36.649937 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 26, length 64
06:22:36.930217 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 26, length 64
06:22:37.651168 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 27, length 64
06:22:37.931410 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 27, length 64
06:22:38.652382 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 28, length 64
06:22:38.932507 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 28, length 64
06:22:39.653478 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 29, length 64
06:22:39.933931 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 29, length 64
06:22:40.654891 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 30, length 64
06:22:40.935775 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 30, length 64
06:22:41.655740 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 31, length 64
06:22:41.936915 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 31, length 64
06:22:42.656879 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 32, length 64
06:22:42.937295 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 32, length 64
06:22:43.658268 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 33, length 64
06:22:43.938574 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 33, length 64
06:22:44.659542 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 34, length 64
06:22:44.939814 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 34, length 64
06:22:45.660775 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 35, length 64
06:22:45.940963 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 35, length 64
06:22:46.661933 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 36, length 64
06:22:46.942237 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 36, length 64
06:22:47.663192 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 37, length 64
06:22:47.943445 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 37, length 64
06:22:48.664402 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 38, length 64
06:22:48.944713 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 38, length 64
06:22:49.665668 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 39, length 64
06:22:49.945925 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 39, length 64
06:22:50.666876 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 40, length 64
06:22:50.947071 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 40, length 64
06:22:51.668029 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 41, length 64
06:22:51.948730 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 41, length 64
06:22:52.669688 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 42, length 64
06:22:52.950244 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 42, length 64
06:22:53.671204 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 43, length 64
06:22:53.951797 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 43, length 64
06:22:54.672767 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 44, length 64
06:22:54.953044 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 44, length 64
06:22:55.674005 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 45, length 64
06:22:55.954795 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 45, length 64
06:22:56.675759 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 46, length 64
06:22:56.956133 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 46, length 64
06:22:57.677033 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 47, length 64
06:22:57.957438 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 47, length 64
06:22:58.678403 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 48, length 64
06:22:58.958670 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 48, length 64
06:22:59.679639 IP 10.8.3.22 > 185.134.114.44: ICMP echo request, id 443, seq 49, length 64
06:22:59.960173 IP 185.134.114.44 > 10.8.3.22: ICMP echo reply, id 443, seq 49, length 64
