06:29:27.770080 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 2, length 64
06:29:28.062886 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 2, length 64
06:29:28.770216 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 3, length 64
06:29:29.068932 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 3, length 64
06:29:29.770887 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 4, length 64
06:29:30.074619 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 4, length 64
06:29:30.771564 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 5, length 64
06:29:31.063338 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 5, length 64
06:29:31.772279 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 6, length 64
06:29:32.082168 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 6, length 64
06:29:32.772091 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 7, length 64
06:29:33.088222 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 7, length 64
06:29:33.772142 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 8, length 64
06:29:34.060841 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 8, length 64
06:29:34.772784 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 9, length 64
06:29:35.055269 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 9, length 64
06:29:35.773221 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 10, length 64
06:29:36.062951 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 10, length 64
06:29:36.773898 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 11, length 64
06:29:37.068587 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 11, length 64
06:29:37.774524 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 12, length 64
06:29:38.065238 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 12, length 64
06:29:38.775189 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 13, length 64
06:29:39.082904 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 13, length 64
06:29:39.775835 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 14, length 64
06:29:40.085526 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 14, length 64
06:29:40.776455 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 15, length 64
06:29:41.080361 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 15, length 64
06:29:41.776291 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 16, length 64
06:29:42.071252 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 16, length 64
06:29:42.776205 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 17, length 64
06:29:43.072472 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 17, length 64
06:29:43.776414 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 18, length 64
06:29:44.078083 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 18, length 64
06:29:44.777030 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 19, length 64
06:29:45.086565 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 19, length 64
06:29:45.777501 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 20, length 64
06:29:46.072082 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 20, length 64
06:29:46.778032 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 21, length 64
06:29:47.081433 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 21, length 64
06:29:47.778373 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 22, length 64
06:29:48.084134 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 22, length 64
06:29:48.779072 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 23, length 64
06:29:49.091912 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 23, length 64
06:29:49.778845 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 24, length 64
06:29:50.087776 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 24, length 64
06:29:50.778714 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 25, length 64
06:29:51.070848 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 25, length 64
06:29:51.778207 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 26, length 64
06:29:52.071078 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 26, length 64
06:29:52.778020 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 27, length 64
06:29:53.062311 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 27, length 64
06:29:53.778271 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 28, length 64
06:29:54.075324 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 28, length 64
06:29:54.778292 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 29, length 64
06:29:55.806258 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 30, length 64
06:29:56.091003 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 30, length 64
06:29:56.806977 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 31, length 64
06:29:57.102818 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 31, length 64
06:29:57.806769 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 32, length 64
06:29:58.102710 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 32, length 64
06:29:58.806647 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 33, length 64
06:29:59.099761 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 33, length 64
06:29:59.806712 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 34, length 64
06:30:00.101596 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 34, length 64
06:30:00.806547 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 35, length 64
06:30:01.086409 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 35, length 64
06:30:01.806373 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 36, length 64
06:30:02.099249 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 36, length 64
06:30:02.806198 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 37, length 64
06:30:03.097513 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 37, length 64
06:30:03.806433 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 38, length 64
06:30:04.112922 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 38, length 64
06:30:04.806867 IP 10.8.3.22 > 185.225.28.43: ICMP echo request, id 473, seq 39, length 64
06:30:05.096510 IP 185.225.28.43 > 10.8.3.22: ICMP echo reply, id 473, seq 39, length 64
