06:16:00.832183 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 1, length 64
06:16:01.652475 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 2, length 64
06:16:02.012378 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 2, length 64
06:16:02.652262 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 3, length 64
06:16:03.012193 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 3, length 64
06:16:03.652089 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 4, length 64
06:16:04.011990 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 4, length 64
06:16:04.651873 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 5, length 64
06:16:05.012028 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 5, length 64
06:16:05.651915 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 6, length 64
06:16:06.014281 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 6, length 64
06:16:06.652165 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 7, length 64
06:16:07.012129 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 7, length 64
06:16:07.652008 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 8, length 64
06:16:08.011890 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 8, length 64
06:16:08.651775 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 9, length 64
06:16:09.011322 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 9, length 64
06:16:09.652201 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 10, length 64
06:16:10.011936 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 10, length 64
06:16:10.652837 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 11, length 64
06:16:11.012744 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 11, length 64
06:16:11.652629 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 12, length 64
06:16:12.012531 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 12, length 64
06:16:12.652413 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 13, length 64
06:16:13.012753 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 13, length 64
06:16:13.652634 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 14, length 64
06:16:14.012774 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 14, length 64
06:16:14.652655 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 15, length 64
06:16:15.012427 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 15, length 64
06:16:15.653312 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 16, length 64
06:16:16.013049 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 16, length 64
06:16:16.653933 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 17, length 64
06:16:17.014266 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 17, length 64
06:16:17.654164 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 18, length 64
06:16:18.013697 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 18, length 64
06:16:18.654215 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 19, length 64
06:16:19.014299 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 19, length 64
06:16:19.654193 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 20, length 64
06:16:20.013901 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 20, length 64
06:16:20.654184 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 21, length 64
06:16:21.014188 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 21, length 64
06:16:21.654079 IP 10.8.3.22 > 45.35.93.146: ICMP echo request, id 421, seq 22, length 64
06:16:22.013910 IP 45.35.93.146 > 10.8.3.22: ICMP echo reply, id 421, seq 22, length 64
