06:18:05.057220 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 1, length 64
06:18:05.403642 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 1, length 64
06:18:06.381462 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 2, length 64
06:18:06.729857 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 2, length 64
06:18:07.382770 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 3, length 64
06:18:07.730077 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 3, length 64
06:18:08.383984 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 4, length 64
06:18:08.730874 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 4, length 64
06:18:09.384778 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 5, length 64
06:18:09.731659 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 5, length 64
06:18:10.385567 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 6, length 64
06:18:10.732907 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 6, length 64
06:18:11.386826 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 7, length 64
06:18:11.733176 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 7, length 64
06:18:12.388083 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 8, length 64
06:18:12.734345 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 8, length 64
06:18:13.389250 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 9, length 64
06:18:13.735968 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 9, length 64
06:18:14.390866 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 10, length 64
06:18:14.740213 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 10, length 64
06:18:15.392114 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 11, length 64
06:18:15.738722 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 11, length 64
06:18:16.393627 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 12, length 64
06:18:16.740671 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 12, length 64
06:18:17.394570 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 13, length 64
06:18:18.398205 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 14, length 64
06:18:18.744686 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 14, length 64
06:18:19.399591 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 15, length 64
06:18:19.746079 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 15, length 64
06:18:20.400990 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 16, length 64
06:18:20.748327 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 16, length 64
06:18:21.402238 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 17, length 64
06:18:21.749736 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 17, length 64
06:18:22.403649 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 18, length 64
06:18:22.749868 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 18, length 64
06:18:23.404765 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 19, length 64
06:18:23.751365 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 19, length 64
06:18:24.406286 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 20, length 64
06:18:24.753076 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 20, length 64
06:18:25.407998 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 21, length 64
06:18:25.755608 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 21, length 64
06:18:26.409516 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 22, length 64
06:18:26.756644 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 22, length 64
06:18:27.410204 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 23, length 64
06:18:27.758169 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 23, length 64
06:18:28.411081 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 24, length 64
06:18:28.757431 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 24, length 64
06:18:29.412364 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 25, length 64
06:18:29.759711 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 25, length 64
06:18:30.413615 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 26, length 64
06:18:30.760305 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 26, length 64
06:18:31.415221 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 27, length 64
06:18:31.761998 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 27, length 64
06:18:32.416921 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 28, length 64
06:18:32.763379 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 28, length 64
06:18:33.418290 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 29, length 64
06:18:33.764423 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 29, length 64
06:18:34.419323 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 30, length 64
06:18:34.765442 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 30, length 64
06:18:35.420369 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 31, length 64
06:18:35.767448 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 31, length 64
06:18:36.421352 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 32, length 64
06:18:36.768388 IP 104.237.193.147 > 10.8.3.22: ICMP echo reply, id 430, seq 32, length 64
06:18:37.422203 IP 10.8.3.22 > 104.237.193.147: ICMP echo request, id 430, seq 33, length 64
