05:08:48.937848 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 1, length 64
05:08:49.658485 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 2, length 64
05:08:49.936069 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 2, length 64
05:08:50.660047 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 3, length 64
05:08:50.937819 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 3, length 64
05:08:51.661742 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 4, length 64
05:08:51.939793 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 4, length 64
05:08:52.662709 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 5, length 64
05:08:52.940495 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 5, length 64
05:08:53.664413 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 6, length 64
05:08:53.942119 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 6, length 64
05:08:54.665960 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 7, length 64
05:08:54.944456 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 7, length 64
05:08:55.667371 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 8, length 64
05:08:55.945284 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 8, length 64
05:08:56.668207 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 9, length 64
05:08:56.946524 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 9, length 64
05:08:57.669442 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 10, length 64
05:08:57.947110 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 10, length 64
05:08:58.671029 IP 10.8.1.7 > 82.102.19.137: ICMP echo request, id 167, seq 11, length 64
05:08:58.948518 IP 82.102.19.137 > 10.8.1.7: ICMP echo reply, id 167, seq 11, length 64
