05:23:10.499918 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 2, length 64
05:23:10.783423 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 2, length 64
05:23:11.501395 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 3, length 64
05:23:11.786910 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 3, length 64
05:23:12.502865 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 4, length 64
05:23:12.789951 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 4, length 64
05:23:13.503924 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 5, length 64
05:23:13.795615 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 5, length 64
05:23:14.505562 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 6, length 64
05:23:14.789852 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 6, length 64
05:23:15.506805 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 7, length 64
05:23:15.789878 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 7, length 64
05:23:16.507836 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 8, length 64
05:23:16.791162 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 8, length 64
05:23:17.509115 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 9, length 64
05:23:17.792425 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 9, length 64
05:23:18.510383 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 10, length 64
05:23:18.793640 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 10, length 64
05:23:19.511601 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 11, length 64
05:23:19.796708 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 11, length 64
05:23:20.512661 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 12, length 64
05:23:20.795833 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 12, length 64
05:23:21.513785 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 13, length 64
05:23:21.796933 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 13, length 64
05:23:22.514895 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 14, length 64
05:23:22.801619 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 14, length 64
05:23:23.516580 IP 10.8.1.7 > 45.228.209.43: ICMP echo request, id 222, seq 15, length 64
05:23:23.799770 IP 45.228.209.43 > 10.8.1.7: ICMP echo reply, id 222, seq 15, length 64
