05:19:08.256685 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 1, length 64
05:19:08.973161 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 2, length 64
05:19:09.256472 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 2, length 64
05:19:09.973423 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 3, length 64
05:19:10.256579 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 3, length 64
05:19:10.973531 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 4, length 64
05:19:11.257244 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 4, length 64
05:19:11.974204 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 5, length 64
05:19:12.257698 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 5, length 64
05:19:12.974662 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 6, length 64
05:19:13.257862 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 6, length 64
05:19:13.974817 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 7, length 64
05:19:14.257992 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 7, length 64
05:19:14.974965 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 8, length 64
05:19:15.258191 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 8, length 64
05:19:15.975138 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 9, length 64
05:19:16.258634 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 9, length 64
05:19:16.975582 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 10, length 64
05:19:17.258672 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 10, length 64
05:19:17.975616 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 11, length 64
05:19:18.258912 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 11, length 64
05:19:18.975856 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 12, length 64
05:19:19.259391 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 12, length 64
05:19:19.976341 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 13, length 64
05:19:20.259817 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 13, length 64
05:19:20.976766 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 14, length 64
05:19:21.260063 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 14, length 64
05:19:21.977019 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 15, length 64
05:19:22.260325 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 15, length 64
05:19:22.977273 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 16, length 64
05:19:23.260549 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 16, length 64
05:19:23.977498 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 17, length 64
05:19:24.260635 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 17, length 64
05:19:24.977588 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 18, length 64
05:19:25.261125 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 18, length 64
05:19:25.978079 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 19, length 64
05:19:26.261718 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 19, length 64
05:19:26.978193 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 20, length 64
05:19:27.261760 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 20, length 64
05:19:27.978708 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 21, length 64
05:19:28.262217 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 21, length 64
05:19:28.979173 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 22, length 64
05:19:29.262409 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 22, length 64
05:19:29.979365 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 23, length 64
05:19:30.262671 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 23, length 64
05:19:30.979628 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 24, length 64
05:19:31.262945 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 24, length 64
05:19:31.979896 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 25, length 64
05:19:32.263544 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 25, length 64
05:19:32.980493 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 26, length 64
05:19:33.263603 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 26, length 64
05:19:33.980553 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 27, length 64
05:19:34.263720 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 27, length 64
05:19:34.980670 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 28, length 64
05:19:35.264097 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 28, length 64
05:19:35.981045 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 29, length 64
05:19:36.264615 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 29, length 64
05:19:36.981568 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 30, length 64
05:19:37.265001 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 30, length 64
05:19:37.981954 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 31, length 64
05:19:38.265234 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 31, length 64
05:19:38.982200 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 32, length 64
05:19:39.265679 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 32, length 64
05:19:39.982633 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 33, length 64
05:19:40.266326 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 33, length 64
05:19:40.983282 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 34, length 64
05:19:41.266632 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 34, length 64
05:19:41.983588 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 35, length 64
05:19:42.266974 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 35, length 64
05:19:42.983928 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 36, length 64
05:19:43.267183 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 36, length 64
05:19:43.984132 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 37, length 64
05:19:44.267683 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 37, length 64
05:19:44.984641 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 38, length 64
05:19:45.268074 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 38, length 64
05:19:45.985031 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 39, length 64
05:19:46.268403 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 39, length 64
05:19:46.985362 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 40, length 64
05:19:47.268651 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 40, length 64
05:19:47.985609 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 41, length 64
05:19:48.269086 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 41, length 64
05:19:48.986035 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 42, length 64
05:19:49.269255 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 42, length 64
05:19:49.986195 IP 10.8.1.7 > 196.240.57.99: ICMP echo request, id 208, seq 43, length 64
05:19:50.269544 IP 196.240.57.99 > 10.8.1.7: ICMP echo reply, id 208, seq 43, length 64
