05:25:10.410537 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 1, length 64
05:25:11.302211 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 2, length 64
05:25:11.410369 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 2, length 64
05:25:12.303509 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 3, length 64
05:25:12.411546 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 3, length 64
05:25:13.304677 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 4, length 64
05:25:13.412860 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 4, length 64
05:25:14.305992 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 5, length 64
05:25:14.414065 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 5, length 64
05:25:15.307197 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 6, length 64
05:25:15.415140 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 6, length 64
05:25:16.308269 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 7, length 64
05:25:16.416369 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 7, length 64
05:25:17.309497 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 8, length 64
05:25:17.417525 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 8, length 64
05:25:18.310647 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 9, length 64
05:25:18.418769 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 9, length 64
05:25:19.311884 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 10, length 64
05:25:19.419843 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 10, length 64
05:25:20.312964 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 11, length 64
05:25:20.420892 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 11, length 64
05:25:21.314015 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 12, length 64
05:25:21.422155 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 12, length 64
05:25:22.315279 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 13, length 64
05:25:22.423181 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 13, length 64
05:25:23.316312 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 14, length 64
05:25:23.424420 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 14, length 64
05:25:24.317541 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 15, length 64
05:25:24.425658 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 15, length 64
05:25:25.318784 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 16, length 64
05:25:25.427062 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 16, length 64
05:25:26.320196 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 17, length 64
05:25:26.428142 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 17, length 64
05:25:27.321272 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 18, length 64
05:25:27.429180 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 18, length 64
05:25:28.322310 IP 10.8.1.7 > 202.87.221.198: ICMP echo request, id 232, seq 19, length 64
05:25:28.430205 IP 202.87.221.198 > 10.8.1.7: ICMP echo reply, id 232, seq 19, length 64
