19:56:59.948705 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 1, length 64
19:57:00.851017 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 2, length 64
19:57:01.286173 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 2, length 64
19:57:01.851015 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 3, length 64
19:57:02.289989 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 3, length 64
19:57:02.850790 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 4, length 64
19:57:03.293540 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 4, length 64
19:57:03.851258 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 5, length 64
19:57:04.290486 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 5, length 64
19:57:04.851287 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 6, length 64
19:57:05.883272 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 7, length 64
19:57:06.337232 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 7, length 64
19:57:06.883018 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 8, length 64
19:57:07.328019 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 8, length 64
19:57:07.882722 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 9, length 64
19:57:08.325830 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 9, length 64
19:57:08.882624 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 10, length 64
19:57:09.883253 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 11, length 64
19:57:10.334577 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 11, length 64
19:57:10.883261 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 12, length 64
19:57:11.314885 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 12, length 64
19:57:11.883682 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 13, length 64
19:57:12.319369 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 13, length 64
19:57:12.884166 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 14, length 64
19:57:13.915250 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 15, length 64
19:57:14.363347 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 15, length 64
19:57:14.915133 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 16, length 64
19:57:15.366114 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 16, length 64
19:57:15.914898 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 17, length 64
19:57:16.331694 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 17, length 64
19:57:16.915550 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 18, length 64
19:57:17.333921 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 18, length 64
19:57:17.915745 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 19, length 64
19:57:18.348739 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 19, length 64
19:57:18.915542 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 20, length 64
19:57:19.354028 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 20, length 64
19:57:19.915823 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 21, length 64
19:57:20.356613 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 21, length 64
19:57:20.916404 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 22, length 64
19:57:21.339409 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 22, length 64
19:57:21.916218 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 23, length 64
19:57:22.347040 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 23, length 64
19:57:22.915856 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 24, length 64
19:57:23.364451 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 24, length 64
19:57:23.916236 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 25, length 64
19:57:24.341324 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 25, length 64
19:57:24.916130 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 26, length 64
19:57:25.360686 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 26, length 64
19:57:25.916485 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 27, length 64
19:57:26.355906 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 27, length 64
19:57:26.916700 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 28, length 64
19:57:27.353942 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 28, length 64
19:57:27.916681 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 29, length 64
19:57:28.348728 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 29, length 64
19:57:28.916500 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 30, length 64
19:57:29.359931 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 30, length 64
19:57:29.916723 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 31, length 64
19:57:30.365765 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 31, length 64
19:57:30.916550 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 32, length 64
19:57:31.359295 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 32, length 64
19:57:31.917105 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 33, length 64
19:57:32.379534 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 33, length 64
19:57:32.917295 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 34, length 64
19:57:33.947240 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 35, length 64
19:57:34.393804 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 35, length 64
19:57:34.947584 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 36, length 64
19:57:35.383065 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 36, length 64
19:57:35.947873 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 37, length 64
19:57:36.404800 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 37, length 64
19:57:36.947577 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 38, length 64
19:57:37.404109 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 38, length 64
19:57:37.947876 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 39, length 64
19:57:38.401662 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 39, length 64
19:57:38.948416 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 40, length 64
19:57:39.374480 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 40, length 64
19:57:39.948285 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 41, length 64
19:57:40.369846 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 41, length 64
19:57:40.948661 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 42, length 64
19:57:41.380324 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 42, length 64
19:57:41.949119 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 43, length 64
19:57:42.376441 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 43, length 64
19:57:42.949256 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 44, length 64
19:57:43.387899 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 44, length 64
19:57:43.949675 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 45, length 64
19:57:44.381747 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 45, length 64
19:57:44.949521 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 46, length 64
19:57:45.979240 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 47, length 64
19:57:46.432721 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 47, length 64
19:57:46.979490 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 48, length 64
19:57:47.421068 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 48, length 64
19:57:47.979854 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 49, length 64
19:57:48.424976 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 49, length 64
19:57:48.979757 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 50, length 64
19:57:49.384556 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 50, length 64
19:57:49.980378 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 51, length 64
19:57:50.397175 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 51, length 64
19:57:50.980995 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 52, length 64
19:57:51.404627 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 52, length 64
19:57:51.981430 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 53, length 64
19:57:52.396683 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 53, length 64
19:57:52.981499 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 54, length 64
19:57:53.401065 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 54, length 64
19:57:53.981873 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 55, length 64
19:57:54.409056 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 55, length 64
19:57:54.981860 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 56, length 64
19:57:55.418515 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 56, length 64
19:57:55.982303 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 57, length 64
19:57:56.987239 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 58, length 64
19:57:57.451189 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 58, length 64
19:57:57.986959 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 59, length 64
19:57:58.431556 IP 185.99.3.104 > 10.8.1.2: ICMP echo reply, id 1247, seq 59, length 64
19:57:58.987348 IP 10.8.1.2 > 185.99.3.104: ICMP echo request, id 1247, seq 60, length 64
