20:09:29.273569 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 1, length 64
20:09:29.602086 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 1, length 64
20:09:39.612644 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 2, length 64
20:09:39.952021 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 2, length 64
20:09:40.613927 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 3, length 64
20:09:40.957246 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 3, length 64
20:09:41.615177 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 4, length 64
20:09:41.949113 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 4, length 64
20:09:42.616024 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 5, length 64
20:09:42.967035 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 5, length 64
20:09:43.616936 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 6, length 64
20:09:43.954911 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 6, length 64
20:09:44.617810 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 7, length 64
20:09:44.941054 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 7, length 64
20:09:45.618897 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 8, length 64
20:09:45.964680 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 8, length 64
20:09:46.620596 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 9, length 64
20:09:46.961513 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 9, length 64
20:09:47.621403 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 10, length 64
20:09:47.935350 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 10, length 64
20:09:48.622280 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 11, length 64
20:09:48.952605 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 11, length 64
20:09:49.623569 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 12, length 64
20:09:49.970730 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 12, length 64
20:09:50.624616 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 13, length 64
20:09:50.970349 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 13, length 64
20:09:51.626242 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 14, length 64
20:09:51.956227 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 14, length 64
20:09:52.627109 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 15, length 64
20:09:52.976531 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 15, length 64
20:09:53.628405 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 16, length 64
20:09:53.969743 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 16, length 64
20:09:54.629641 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 17, length 64
20:09:54.963011 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 17, length 64
20:09:55.630909 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 18, length 64
20:09:56.635259 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 19, length 64
20:09:56.965561 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 19, length 64
20:09:57.636455 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 20, length 64
20:09:58.651258 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 21, length 64
20:09:58.978738 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 21, length 64
20:09:59.652641 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 22, length 64
20:09:59.990086 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 22, length 64
20:10:00.653995 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 23, length 64
20:10:00.996223 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 23, length 64
20:10:01.655120 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 24, length 64
20:10:01.989289 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 24, length 64
20:10:02.656189 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 25, length 64
20:10:02.977212 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 25, length 64
20:10:03.657122 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 26, length 64
20:10:03.995642 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 26, length 64
20:10:04.658550 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 27, length 64
20:10:04.977748 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 27, length 64
20:10:05.659247 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 28, length 64
20:10:05.996804 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 28, length 64
20:10:06.660661 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 29, length 64
20:10:06.996443 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 29, length 64
20:10:07.662342 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 30, length 64
20:10:07.983325 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 30, length 64
20:10:08.663250 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 31, length 64
20:10:08.992999 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 31, length 64
20:10:09.664919 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 32, length 64
20:10:10.016907 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 32, length 64
20:10:10.664800 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 33, length 64
20:10:10.996352 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 33, length 64
20:10:11.666271 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 34, length 64
20:10:12.006382 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 34, length 64
20:10:12.666281 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 35, length 64
20:10:12.982912 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 35, length 64
20:10:13.667830 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 36, length 64
20:10:14.014760 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 36, length 64
20:10:14.667659 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 37, length 64
20:10:15.003803 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 37, length 64
20:10:15.667711 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 38, length 64
20:10:16.009298 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 38, length 64
20:10:16.668217 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 39, length 64
20:10:17.014708 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 39, length 64
20:10:17.668610 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 40, length 64
20:10:18.003598 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 40, length 64
20:10:18.668506 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 41, length 64
20:10:19.016296 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 41, length 64
20:10:19.669193 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 42, length 64
20:10:19.987111 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 42, length 64
20:10:20.670040 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 43, length 64
20:10:21.009776 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 43, length 64
20:10:21.670683 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 44, length 64
20:10:22.014458 IP 192.154.196.13 > 10.8.1.2: ICMP echo reply, id 1292, seq 44, length 64
20:10:22.671358 IP 10.8.1.2 > 192.154.196.13: ICMP echo request, id 1292, seq 45, length 64
