00:49:55.813566 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 1, length 64
00:49:56.181080 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 1, length 64
00:49:57.045787 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 2, length 64
00:49:57.413678 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 2, length 64
00:49:58.046566 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 3, length 64
00:49:58.416475 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 3, length 64
00:49:59.047344 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 4, length 64
00:49:59.425659 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 4, length 64
00:50:00.048515 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 5, length 64
00:50:00.416251 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 5, length 64
00:50:01.050117 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 6, length 64
00:50:01.423032 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 6, length 64
00:50:02.050914 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 7, length 64
00:50:02.418577 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 7, length 64
00:50:03.052446 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 8, length 64
00:50:03.422629 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 8, length 64
00:50:04.053489 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 9, length 64
00:50:04.420992 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 9, length 64
00:50:05.054852 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 10, length 64
00:50:05.422759 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 10, length 64
00:50:06.055621 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 11, length 64
00:50:06.423174 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 11, length 64
00:50:07.057035 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 12, length 64
00:50:07.424539 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 12, length 64
00:50:08.058405 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 13, length 64
00:50:08.426351 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 13, length 64
00:50:09.059218 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 14, length 64
00:50:09.429310 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 14, length 64
00:50:10.060163 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 15, length 64
00:50:10.428167 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 15, length 64
00:50:11.061042 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 16, length 64
00:50:11.429118 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 16, length 64
00:50:12.061977 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 17, length 64
00:50:12.431114 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 17, length 64
00:50:13.062978 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 18, length 64
00:50:13.430667 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 18, length 64
00:50:14.064530 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 19, length 64
00:50:14.432174 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 19, length 64
00:50:15.066036 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 20, length 64
00:50:15.433554 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 20, length 64
00:50:16.067414 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 21, length 64
00:50:16.434871 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 21, length 64
00:50:17.068743 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 22, length 64
00:50:17.436466 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 22, length 64
00:50:18.070327 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 23, length 64
00:50:18.438434 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 23, length 64
00:50:19.071288 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 24, length 64
00:50:19.438830 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 24, length 64
00:50:20.072694 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 25, length 64
00:50:20.440445 IP 66.115.145.3 > 10.8.0.6: ICMP echo reply, id 2347, seq 25, length 64
00:50:21.074314 IP 10.8.0.6 > 66.115.145.3: ICMP echo request, id 2347, seq 26, length 64
